X,Y,Z,r,absv
-0.0969558,0,0.428016,0.00305,0.0458376
-0.0916689,0,0.431657,0.00305,0.0496177
-0.0846965,0,0.427172,0.00305,0.0420376
-0.0786907,0,0.425835,0.00305,0.0523845
-0.0966629,0,0.421621,0.00335,0.0438066
-0.0862422,0,0.420875,0.0034,0.0480455
-0.0967706,0,0.415046,0.00325,0.0394716
-0.0900452,0,0.415146,0.0035,0.0447347
-0.0741159,0,0.416404,0.0035,0.0873882
-0.0834222,0,0.414619,0.00315,0.0658653
-0.0798172,0,0.419766,0.00315,0.0569727
-0.0861125,0,0.434576,0.00325,0.0660636
-0.096981,0,0.434622,0.00305,0.0213903
-0.0773331,0,0.410268,0.00345,0.0960422
-0.0686035,0,0.41249,0.0033,0.0853866
-0.0798822,0,0.43219,0.00345,0.0480462
-0.0863428,0,0.440842,0.00305,0.0744776
-0.0743764,0,0.435524,0.003,0.0718296
-0.073815,0,0.429519,0.00305,0.0931889
-0.0556928,0,0.413427,0.00315,0.0566832
-0.0621482,0,0.41399,0.00335,0.0688221
-0.0715542,0,0.406776,0.00315,0.0858354
-0.05761,0,0.407403,0.0032,0.0630221
-0.0899968,0,0.408461,0.0032,0.0487915
-0.0966143,0,0.408421,0.0034,0.029085
-0.091194,0,0.425356,0.0033,0.0559086
-0.0641534,0,0.407657,0.0033,0.069955
-0.0794528,0,0.404145,0.00305,0.08659
-0.0676383,0,0.401563,0.00335,0.0687425
-0.0535225,0,0.402754,0.003,0.0554314
-0.0680394,0,0.431606,0.00305,0.0416358
-0.0685401,0,0.437976,0.00335,0.0574256
-0.0741055,0,0.401038,0.00315,0.0838416
-0.0610064,0,0.401891,0.0033,0.068676
-0.0473476,0,0.403957,0.0033,0.0460919
-0.051445,0,0.408858,0.0031,0.0387526
-0.0496164,0,0.397709,0.00335,0.0497353
-0.0668699,0,0.425496,0.00305,0.111949
-0.0606252,0,0.427202,0.00345,0.08017
-0.0824554,0,0.398519,0.00335,0.0717859
-0.0891064,0,0.397196,0.00345,0.061696
-0.0867452,0,0.40319,0.003,0.0627781
-0.0452306,0,0.410201,0.00305,0.0709758
-0.0671983,0,0.419061,0.00335,0.0584878
-0.0606926,0,0.420465,0.0033,0.0788143
-0.0541339,0,0.425646,0.00325,0.0578982
-0.0496009,0,0.42991,0.003,0.0491218
-0.0556819,0,0.432247,0.0034,0.0229868
-0.0486089,0,0.421369,0.0032,0.0625705
-0.0544819,0,0.419428,0.003,0.0528113
-0.0930739,0,0.402698,0.00335,0.0403675
-0.0430997,0,0.416311,0.0032,0.0727318
-0.0494419,0,0.414938,0.0033,0.063511
-0.0495652,0,0.436396,0.0035,0.0522973
-0.0620504,0,0.433517,0.00305,0.0909346
-0.0391472,0,0.428134,0.003,0.0675765
-0.0372802,0,0.434055,0.0032,0.0354467
-0.0639261,0,0.396224,0.0031,0.0783686
-0.0563978,0,0.396936,0.0035,0.0641812
-0.0448411,0,0.426263,0.003,0.0661479
-0.0970115,0,0.397746,0.003,0.045067
-0.0901966,0,0.390758,0.0031,0.0592615
-0.0966299,0,0.391373,0.0034,0.0403237
-0.0842163,0,0.392327,0.0031,0.0710206
-0.0403014,0,0.422055,0.0032,0.0722203
-0.0353253,0,0.417817,0.00335,0.0598925
-0.0728531,0,0.423158,0.0034,0.0876985
-0.0966583,0,0.384633,0.00335,0.0321133
-0.0860542,0,0.386186,0.0031,0.0368939
-0.0766507,0,0.394918,0.0035,0.0735627
-0.0837615,0,0.408445,0.00305,0.0740872
-0.0288037,0,0.41881,0.00325,0.0623824
-0.0383178,0,0.411852,0.00335,0.0630438
-0.0342448,0,0.424298,0.00325,0.0524654
-0.0906807,0,0.381851,0.00325,0.0436333
-0.0364215,0,0.400472,0.0031,0.0532324
-0.0389206,0,0.393552,0.00315,0.0776796
-0.0325841,0,0.395295,0.00335,0.0457444
-0.0428879,0,0.398843,0.0035,0.0625673
