X,Y,Z,r,absv
-0.0969382,0,0.430763,0.00305,0.00764782
-0.0910751,0,0.435243,0.00305,0.0315122
-0.0847263,0,0.430858,0.00305,0.0209378
-0.0787822,0,0.429489,0.00305,0.0472046
-0.0958036,0,0.424346,0.00335,0.0711567
-0.0858158,0,0.42447,0.0034,0.0131686
-0.09672,0,0.417768,0.00325,0.0633804
-0.0899696,0,0.418843,0.0035,0.038938
-0.0739716,0,0.419345,0.0035,0.0501492
-0.0832718,0,0.418395,0.00315,0.0382067
-0.0793151,0,0.423309,0.00315,0.0460833
-0.0860216,0,0.439017,0.00325,0.0459324
-0.0969501,0,0.436886,0.00305,0.00875457
-0.0773971,0,0.413298,0.00345,0.0546554
-0.0687073,0,0.415042,0.0033,0.0527461
-0.0801104,0,0.435863,0.00345,0.0514638
-0.0863124,0,0.44531,0.00305,0.0447774
-0.0751053,0,0.439939,0.003,0.0508747
-0.0736794,0,0.432841,0.00305,0.0647444
-0.0557775,0,0.416309,0.00315,0.0476456
-0.0622603,0,0.416806,0.00335,0.0514337
-0.07192,0,0.409455,0.00315,0.0650306
-0.057534,0,0.410195,0.0032,0.0463622
-0.0900663,0,0.412092,0.0032,0.0236696
-0.09659,0,0.411077,0.0034,0.050989
-0.090851,0,0.428895,0.0033,0.0295227
-0.0640316,0,0.410386,0.0033,0.0544797
-0.0789408,0,0.406976,0.00305,0.0558386
-0.0674904,0,0.404686,0.00335,0.0391448
-0.0535228,0,0.405465,0.003,0.0404834
-0.0677591,0,0.434568,0.00305,0.0643814
-0.0690717,0,0.441946,0.00335,0.0352848
-0.0738845,0,0.403378,0.00315,0.0516193
-0.0608452,0,0.4046,0.0033,0.0433644
-0.0473555,0,0.406789,0.0033,0.032709
-0.0513692,0,0.411815,0.0031,0.0561281
-0.0494748,0,0.400482,0.00335,0.0383427
-0.0671836,0,0.428488,0.00305,0.0599175
-0.0608871,0,0.430101,0.00345,0.0590343
-0.0820833,0,0.40139,0.00335,0.0432978
-0.0887527,0,0.400041,0.00345,0.0476142
-0.0858481,0,0.406504,0.003,0.0294261
-0.0453741,0,0.413184,0.00305,0.0394951
-0.0674488,0,0.421681,0.00335,0.0530783
-0.0609044,0,0.423324,0.0033,0.0563093
-0.0543632,0,0.428586,0.00325,0.0479703
-0.0497364,0,0.432785,0.003,0.0506242
-0.0556367,0,0.435277,0.0034,0.0545766
-0.0486981,0,0.42442,0.0032,0.0461132
-0.0545733,0,0.422339,0.003,0.0459728
-0.0923111,0,0.405855,0.00335,0.0488079
-0.0431783,0,0.419281,0.0032,0.0488149
-0.0495465,0,0.417976,0.0033,0.0469067
-0.0497892,0,0.43947,0.0035,0.0527888
-0.0619666,0,0.43651,0.00305,0.054627
-0.0392116,0,0.431317,0.003,0.0391103
-0.0372583,0,0.437204,0.0032,0.0417654
-0.0639418,0,0.398995,0.0031,0.0415121
-0.0562716,0,0.399571,0.0035,0.0389764
-0.0448564,0,0.429286,0.003,0.0517121
-0.0969752,0,0.400401,0.003,0.0188418
-0.0901057,0,0.39363,0.0031,0.0379916
-0.0965944,0,0.39399,0.0034,0.0260345
-0.0841217,0,0.395263,0.0031,0.042482
-0.0403473,0,0.425022,0.0032,0.0435887
-0.0352796,0,0.420872,0.00335,0.0413489
-0.0732177,0,0.426205,0.0034,0.054578
-0.096185,0,0.38687,0.00335,0.0399035
-0.0857953,0,0.38917,0.0031,0.0377387
-0.0765824,0,0.397298,0.0035,0.0479964
-0.083817,0,0.412217,0.00305,0.0274464
-0.0284805,0,0.421807,0.00325,0.0423545
-0.0382934,0,0.414889,0.00335,0.0451715
-0.0343379,0,0.427405,0.00325,0.0393988
-0.0898964,0,0.384287,0.00325,0.0160864
-0.0363405,0,0.403595,0.0031,0.0407046
-0.0388575,0,0.396379,0.00315,0.0383387
-0.0326399,0,0.398278,0.00335,0.036159
-0.0427414,0,0.401784,0.0035,0.0401847
-0.0600461,0,0.394091,0.00315,0.0272393
-0.079294,0,0.391167,0.0032,0.0429076
-0.08111,0,0.385181,0.00305,0.0430748
-0.0849182,0,0.380431,0.003,0.0405041
-0.0339779,0,0.4097,0.0034,0.0398742
-0.0271713,0,0.410459,0.00345,0.038155
-0.03125,0,0.415711,0.0032,0.0477471
-0.055745,0,0.442312,0.0031,0.0557735
-0.0420548,0,0.448328,0.00325,0.0468127
-0.041616,0,0.441893,0.0032,0.0498045
-0.0296556,0,0.392557,0.0031,0.0344852
-0.0263688,0,0.399284,0.003,0.0372497
-0.0700987,0,0.398299,0.00305,0.049729
-0.0726891,0,0.39203,0.00305,0.0427188
-0.0751383,0,0.386443,0.00305,0.0457009
-0.0788109,0,0.379369,0.0032,0.0417034
-0.0686792,0,0.386908,0.0031,0.0451227
-0.0239953,0,0.416765,0.0035,0.0536752
-0.0741241,0,0.445965,0.0031,0.0451986
-0.0802503,0,0.443455,0.0032,0.0801764
-0.0818578,0,0.449852,0.0033,0.0502939
-0.0350253,0,0.443416,0.0034,0.043475
-0.0406535,0,0.454778,0.00335,0.0522914
-0.054129,0,0.448233,0.003,0.0546158
-0.0352741,0,0.450138,0.0033,0.0548538
-0.0407751,0,0.408503,0.0035,0.0448338
-0.0299953,0,0.404375,0.00325,0.0390407
-0.0108059,0,0.416406,0.0031,0.0485327
-0.00688843,0,0.421282,0.00315,0.0479984
-0.0198987,0,0.422606,0.0034,0.0535807
-0.0553846,0,0.38861,0.0034,0.0286702
-0.0520367,0,0.394378,0.0032,0.0363863
-0.0664315,0,0.393101,0.0033,0.0473932
-0.0965417,0,0.380067,0.00345,0.013433
-0.0837986,0,0.37405,0.00335,0.0379997
-0.0493675,0,0.452742,0.0034,0.0598103
-0.0461047,0,0.458843,0.00345,0.0540601
-0.0343892,0,0.457155,0.00335,0.0490621
-0.0134526,0,0.399652,0.00315,0.057156
-0.0200232,0,0.39961,0.00335,0.0366427
-0.0623037,0,0.443052,0.0035,0.0547595
-0.0167405,0,0.405393,0.0033,0.048867
-0.0601355,0,0.449287,0.0031,0.0579641
-0.0666763,0,0.448338,0.00335,0.0484936
-0.0630407,0,0.455104,0.0034,0.0507516
-0.0102634,0,0.394035,0.00305,0.0385157
-0.0166107,0,0.393897,0.0033,0.0398575
-0.0232579,0,0.393745,0.00335,0.039379
-0.0103454,0,0.405093,0.0031,0.0408175
-0.00693656,0,0.399443,0.0033,0.0424241
-0.0916686,0,0.442122,0.00315,0.0434341
-0.0756112,0,0.452298,0.0034,0.0483145
-0.0356909,0,0.390933,0.00315,0.0391966
-0.096887,0,0.4455,0.00305,0.0703636
-0.0908126,0,0.449504,0.0031,0.0361684
-0.0216388,0,0.429025,0.00325,0.0507647
-0.0279871,0,0.428191,0.00315,0.0380486
-0.0743819,0,0.374887,0.0031,0.0349781
-0.0904126,0,0.377903,0.00305,0.0209015
-0.0716526,0,0.380899,0.0035,0.0262866
-0.0904125,0,0.371355,0.0035,0.0226824
-0.0453636,0,0.395002,0.0035,0.0318768
-0.0694235,0,0.454125,0.00305,0.0524207
-0.0021667,0,0.395321,0.003,0.0487738
0.00222604,0,0.403647,0.00345,0.0374364
-0.00414454,0,0.405201,0.0031,0.0459611
-0.0178849,0,0.445712,0.00315,0.0512209
-0.028831,0,0.451969,0.00305,0.0550307
-0.0234153,0,0.448851,0.0032,0.0573895
-0.0129935,0,0.388468,0.00315,0.0332128
-0.0192324,0,0.388048,0.0031,0.0335361
-0.0256575,0,0.387491,0.00335,0.0372268
-0.0234104,0,0.405097,0.0031,0.0412107
-0.0204339,0,0.410869,0.0033,0.0474727
-0.0135115,0,0.410824,0.003,0.0568884
-0.0488194,0,0.388902,0.00315,0.035852
-0.0621933,0,0.387849,0.00345,0.0402875
-0.0515397,0,0.383165,0.0032,0.0368004
-0.0675715,0,0.375443,0.0033,0.0325502
-0.0968579,0,0.373406,0.00315,0.0181742
-0.0707391,0,0.369934,0.00305,0.0352905
-0.0911947,0,0.364394,0.00345,0.0175179
-0.00546616,0,0.390188,0.0031,0.0411258
-0.0388584,0,0.384823,0.0034,0.0421611
-0.01585,0,0.382965,0.003,0.0328819
-0.0320907,0,0.385458,0.0034,0.0399291
-0.0250986,0,0.434645,0.00335,0.0543637
-0.0439704,0,0.435674,0.00345,0.0460299
-0.096512,0,0.452734,0.00345,0.031012
-0.0867005,0,0.454684,0.0035,0.036087
-0.096992,0,0.367223,0.003,0.0140763
-0.0289476,0,0.445788,0.0031,0.0509525
-0.0452692,0,0.383754,0.0031,0.0390335
-0.0348329,0,0.37929,0.00335,0.0412541
-0.047776,0,0.377922,0.00325,0.0376017
-0.0582881,0,0.382405,0.00325,0.0397008
-0.064837,0,0.381583,0.00335,0.0322007
-0.00255916,0,0.416498,0.0033,0.0490371
0.00224706,0,0.421231,0.00325,0.0436575
-0.0069166,0,0.411136,0.00345,0.0491404
-0.0526946,0,0.460891,0.00345,0.0527295
-0.0395688,0,0.461137,0.0031,0.0549962
-0.0278223,0,0.458479,0.00335,0.0604072
0.0147461,0,0.40222,0.00315,0.0288761
0.00400016,0,0.397032,0.0034,0.0403518
0.0166695,0,0.396169,0.0032,0.0290569
0.0104366,0,0.396624,0.00305,0.0310015
0.00858496,0,0.402491,0.003,0.0312584
-0.0138832,0,0.4404,0.0035,0.0460365
-0.0111281,0,0.446615,0.00325,0.0504422
0.0056574,0,0.426893,0.00335,0.0344537
0.0132622,0,0.426505,0.0034,0.0669758
0.00416257,0,0.415125,0.00315,0.0415614
-0.0317628,0,0.433544,0.0034,0.0388155
-0.00461858,0,0.452328,0.00325,0.0563981
-0.00433617,0,0.445631,0.00345,0.0559336
-0.0174078,0,0.451843,0.003,0.0521106
0.0295042,0,0.391812,0.00345,0.0260237
0.0267647,0,0.398561,0.00315,0.0302389
0.0227116,0,0.393276,0.0035,0.0274226
0.0209129,0,0.400891,0.00315,0.034966
-0.030644,0,0.373742,0.0033,0.0330699
-0.0111546,0,0.378615,0.0034,0.035565
-0.0504639,0,0.371728,0.0035,0.0398552
-0.0371451,0,0.373163,0.0032,0.0416678
0.00641756,0,0.409014,0.00335,0.0385298
-0.000162549,0,0.410274,0.00335,0.0458689
0.0106143,0,0.414329,0.00335,0.0300827
0.0149124,0,0.43367,0.003,0.055712
0.0198665,0,0.430024,0.00315,0.0493042
0.0194089,0,0.42369,0.0032,0.0482783
0.0152254,0,0.418913,0.00315,0.0310412
-0.00184655,0,0.426597,0.0035,0.0530556
-0.0542487,0,0.377314,0.00325,0.0360097
0.0263331,0,0.428441,0.0035,0.0465459
0.0313877,0,0.423886,0.0033,0.0420128
0.0279745,0,0.435122,0.0033,0.0529871
-0.0220882,0,0.440686,0.0034,0.0590741
-0.0292207,0,0.439544,0.00305,0.0426123
0.0133438,0,0.390938,0.003,0.0191729
0.0327952,0,0.397359,0.003,0.0296555
0.00894023,0,0.420925,0.00345,0.0293294
0.0399774,0,0.387124,0.0033,0.0333027
0.042661,0,0.393316,0.00345,0.0353942
0.0388026,0,0.398669,0.00315,0.0324398
0.0309813,0,0.403184,0.0031,0.0326746
0.0473686,0,0.398151,0.0033,0.0401417
0.0492592,0,0.39032,0.0031,0.0629179
0.0361642,0,0.392275,0.0031,0.0373999
-0.0336692,0,0.463866,0.0034,0.0493344
-0.0444408,0,0.465591,0.0035,0.0568648
0.0559953,0,0.39054,0.00345,0.0277196
0.0617934,0,0.39503,0.003,0.0303858
0.0524334,0,0.384637,0.00325,0.0363837
0.0539197,0,0.397015,0.00335,0.0223625
-0.0216751,0,0.4615,0.0035,0.0615844
-0.0272962,0,0.464862,0.00305,0.0618248
0.0327484,0,0.430604,0.00325,0.0546006
0.0359101,0,0.436497,0.0034,0.0426255
0.0406253,0,0.43195,0.00315,0.042053
-0.0132217,0,0.422279,0.00325,0.050838
0.0251822,0,0.405525,0.00315,0.0378605
0.0190304,0,0.406903,0.00315,0.0393394
0.0655483,0,0.400191,0.00305,0.0316114
0.0679767,0,0.394433,0.0032,0.0347222
0.0705859,0,0.388735,0.00305,0.0302546
0.0422755,0,0.438065,0.00315,0.0421949
0.0512503,0,0.42871,0.0031,0.0386191
0.0500118,0,0.439313,0.0032,0.0469262
0.045117,0,0.427235,0.0032,0.0429593
0.0255133,0,0.441396,0.0034,0.0566365
0.0128702,0,0.408234,0.00315,0.0333355
-0.004371,0,0.377352,0.0035,0.0496897
-0.0282617,0,0.380015,0.00325,0.0399638
-0.00807219,0,0.384452,0.0032,0.0363028
-0.0220477,0,0.381966,0.00325,0.0355193
-0.00184035,0,0.383459,0.0031,0.0537822
0.000532232,0,0.389085,0.003,0.0577491
-0.0530926,0,0.365241,0.0035,0.041754
-0.0436666,0,0.372569,0.00335,0.0461878
-0.060864,0,0.376032,0.0034,0.0230801
-0.0597655,0,0.365158,0.00315,0.0325875
0.0114153,0,0.38494,0.0033,0.0187809
0.0248761,0,0.386609,0.0035,0.0257379
-0.0924751,0,0.458054,0.0032,0.00973625
-0.0803195,0,0.456978,0.0032,0.0512528
-0.0788467,0,0.463374,0.00335,0.0586042
-0.0724771,0,0.46525,0.0032,0.0663968
-0.0852582,0,0.46143,0.00325,0.052711
-0.096878,0,0.462512,0.00305,0.00800622
-0.0171578,0,0.41654,0.00325,0.0524179
0.0743412,0,0.393731,0.0032,0.0282528
0.0906259,0,0.390155,0.0031,0.0324936
0.0766708,0,0.386719,0.00335,0.0131973
0.0802895,0,0.391962,0.003,0.0167292
-0.0108623,0,0.461718,0.0035,0.0636943
-0.0787045,0,0.369519,0.00345,0.033223
0.0537546,0,0.423145,0.003,0.0394883
0.0580765,0,0.427798,0.00335,0.0267246
0.0594137,0,0.421098,0.003,0.0370479
0.096769,0,0.380394,0.0032,0.0435696
0.0905963,0,0.383582,0.00315,0.053863
0.096495,0,0.387092,0.0035,0.0337504
0.0847434,0,0.387071,0.0035,0.0379643
-0.000415601,0,0.43995,0.00345,0.0439589
-0.0111836,0,0.433941,0.0035,0.0486449
0.00133995,0,0.449611,0.0033,0.0645995
0.0563066,0,0.378369,0.0032,0.0198495
0.045898,0,0.384212,0.0033,0.0336781
0.0591283,0,0.384393,0.00345,0.0251171
-0.00464519,0,0.43272,0.00315,0.0553502
-0.0151616,0,0.428488,0.00325,0.0501569
-0.0179599,0,0.434458,0.00325,0.0517813
-0.024257,0,0.374958,0.0032,0.0383549
-0.0177912,0,0.376724,0.0035,0.0415675
0.0593201,0,0.400721,0.0032,0.0322608
0.043253,0,0.402984,0.00305,0.0288818
-0.0591634,0,0.460264,0.00305,0.0459504
0.095845,0,0.393622,0.003,0.0382746
0.0859125,0,0.394192,0.00305,0.0204049
-0.0741618,0,0.458799,0.0032,0.0436487
-0.0679785,0,0.460112,0.0031,0.0542627
0.00526322,0,0.444118,0.00345,0.0485847
0.00576539,0,0.437487,0.0032,0.051896
-0.0397964,0,0.36741,0.00305,0.0371656
-0.0566529,0,0.359331,0.0034,0.0353522
-0.046115,0,0.366548,0.00315,0.0442904
0.0212727,0,0.417551,0.00305,0.0317211
0.0292583,0,0.416834,0.0034,0.0420224
0.0253787,0,0.421997,0.003,0.0485644
-0.0413586,0,0.378713,0.0032,0.0460923
-0.0851111,0,0.367203,0.0032,0.0305295
0.00181271,0,0.432328,0.0033,0.0478438
0.011953,0,0.43912,0.0032,0.0512482
0.0496093,0,0.378509,0.0035,0.031199
0.0360272,0,0.41898,0.00345,0.0435176
0.0376405,0,0.426175,0.00335,0.0530375
0.0176267,0,0.442685,0.0035,0.0500101
0.0297971,0,0.410103,0.00335,0.0398498
0.0171085,0,0.412901,0.00315,0.0345007
0.0722767,0,0.399948,0.00335,0.0388645
0.078762,0,0.398493,0.00325,0.0503266
-0.0071483,0,0.439432,0.0033,0.0547411
-0.0640107,0,0.369934,0.0032,0.04556
-0.0908759,0,0.464377,0.003,0.057109
-0.0969047,0,0.468673,0.00305,0.0619777
-0.0909155,0,0.470506,0.0031,0.0601658
-0.0842931,0,0.468174,0.0035,0.0657497
-0.0884754,0,0.476107,0.003,0.0543729
-0.0824327,0,0.474644,0.0032,0.0609254
-0.019399,0,0.370175,0.0032,0.0451226
-0.0127393,0,0.371952,0.00345,0.0386146
-0.0062306,0,0.370838,0.00315,0.0522056
0.0225329,0,0.447397,0.0033,0.0603987
0.0319672,0,0.441605,0.00305,0.046002
-0.00862601,0,0.427578,0.00335,0.0550867
0.0484389,0,0.420256,0.00305,0.0440417
0.0848586,0,0.400334,0.0031,0.0271624
-0.0969103,0,0.48177,0.00305,0.00815162
0.0911905,0,0.377142,0.00325,0.0725518
0.0806642,0,0.38165,0.0031,0.0214623
0.0846415,0,0.376615,0.0033,0.0213694
0.0783316,0,0.375128,0.00305,0.0484065
0.0741389,0,0.38025,0.00335,0.0781223
0.000537552,0,0.455947,0.00305,0.0640354
0.000661857,0,0.462781,0.0035,0.069405
-0.00479765,0,0.459045,0.0031,0.0614575
0.0636392,0,0.431165,0.00315,0.0201795
0.00493953,0,0.384327,0.00305,0.0458175
0.0068536,0,0.390591,0.0035,0.0467131
0.0361699,0,0.41218,0.00335,0.0356754
0.0901208,0,0.369748,0.00325,0.0202688
0.00241362,0,0.378438,0.00335,0.0442495
0.00883473,0,0.379083,0.0031,0.0298208
0.0562745,0,0.410199,0.0034,0.0431434
0.0620362,0,0.406682,0.00335,0.0465767
0.0479447,0,0.406802,0.003,0.0327008
0.0371449,0,0.404907,0.0033,0.0317341
0.0660774,0,0.411933,0.00325,0.0426939
0.0444964,0,0.41534,0.00325,0.0504032
0.0688106,0,0.405815,0.00345,0.0395756
0.0501855,0,0.412475,0.0031,0.0455091
-0.0632328,0,0.359829,0.0032,0.0306553
-0.0594009,0,0.353384,0.00315,0.0318423
-0.0420154,0,0.361441,0.0033,0.0401809
-0.0660387,0,0.353746,0.0035,0.0289772
0.0625888,0,0.378831,0.0031,0.0269352
0.0687495,0,0.376021,0.0035,0.0234807
-0.0354704,0,0.361673,0.00325,0.0427317
0.0162581,0,0.449882,0.0034,0.0583383
0.0063805,0,0.458795,0.00345,0.0660148
0.0169389,0,0.461953,0.0031,0.0549093
0.0195904,0,0.455962,0.00345,0.0552094
0.0126902,0,0.455985,0.00345,0.0654851
0.0052622,0,0.467605,0.00305,0.0665769
0.0422525,0,0.421456,0.00325,0.0497717
0.0677242,0,0.382898,0.00345,0.0217584
0.0829203,0,0.370193,0.00335,0.0287131
0.073908,0,0.370926,0.00305,0.0282012
0.0630011,0,0.372746,0.003,0.0234856
0.0768555,0,0.404504,0.00305,0.0116063
0.0894806,0,0.404913,0.0034,0.0240051
0.0802653,0,0.411889,0.0032,0.0193048
0.0909912,0,0.398171,0.0034,0.0386332
0.0970002,0,0.406702,0.003,0.0227133
0.0502832,0,0.372044,0.003,0.0329512
-0.0723523,0,0.474151,0.0032,0.0369175
-0.0776006,0,0.470064,0.00345,0.0529862
-0.0680122,0,0.46972,0.003,0.0423876
-0.0225101,0,0.455,0.003,0.065116
0.0655158,0,0.419016,0.0032,0.0168898
0.0724316,0,0.422218,0.0033,0.0142
0.063963,0,0.425018,0.003,0.0148351
0.0108283,0,0.471082,0.0035,0.0700622
-0.000564836,0,0.469236,0.003,0.0703267
-0.00537644,0,0.465459,0.0031,0.0715057
-0.00145791,0,0.366276,0.00345,0.0447712
-0.0148235,0,0.365481,0.00335,0.041267
-0.0263578,0,0.369124,0.003,0.0353357
-0.00822385,0,0.364663,0.0033,0.05248
0.0865948,0,0.410922,0.0032,0.0160992
0.0930239,0,0.411525,0.00325,0.0235321
0.0827068,0,0.406072,0.003,0.0298085
-0.016342,0,0.465222,0.003,0.0696658
-0.0111291,0,0.46829,0.00305,0.0689064
0.0836345,0,0.417287,0.0031,0.0254049
0.086861,0,0.42323,0.003,0.024074
0.0709001,0,0.415927,0.003,0.018403
0.0758012,0,0.429027,0.0031,0.014444
1.9446e-05,0,0.372557,0.003,0.0447882
0.0156764,0,0.380032,0.0032,0.0188715
0.0370635,0,0.381147,0.00335,0.0289635
0.0288675,0,0.381345,0.00305,0.040681
0.0966103,0,0.367704,0.00335,0.0511755
0.0327449,0,0.376025,0.00335,0.0275172
0.0329836,0,0.386205,0.00315,0.0267614
-0.0289508,0,0.363216,0.00345,0.0378234
-0.0217979,0,0.364272,0.00315,0.0461712
-0.0336079,0,0.367891,0.00315,0.0400974
0.0261556,0,0.375648,0.00325,0.0402967
0.0219845,0,0.380653,0.0031,0.0368592
0.0421308,0,0.409231,0.0033,0.0348878
0.0536337,0,0.403972,0.00335,0.0288268
0.0912668,0,0.363484,0.0031,0.0313414
0.0605752,0,0.415101,0.0031,0.0377586
0.0739062,0,0.410317,0.00335,0.0164239
-0.0741261,0,0.364411,0.0034,0.0267124
-0.0968994,0,0.360813,0.0031,0.00469051
-0.0804125,0,0.363158,0.003,0.0241063
-0.0771933,0,0.478522,0.0033,0.0578945
-0.0839047,0,0.4812,0.0035,0.0614276
-0.0967884,0,0.474832,0.0031,0.0575695
-0.0558377,0,0.454269,0.00315,0.0663493
-0.0571189,0,0.466189,0.00315,0.0610764
0.00269528,0,0.36058,0.0034,0.051262
-0.0110169,0,0.358782,0.0031,0.0603057
0.0050942,0,0.36663,0.0031,0.0407326
0.0428781,0,0.378028,0.00325,0.0298186
0.0967522,0,0.416866,0.00325,0.0174857
0.0900868,0,0.417577,0.00335,0.0398926
0.0967126,0,0.428817,0.0032,0.0261719
0.0769045,0,0.417298,0.00315,0.013777
0.0941336,0,0.422814,0.00325,0.0355451
-0.0906117,0,0.482043,0.00325,0.0510149
0.0789135,0,0.42343,0.0033,0.00418551
0.0829859,0,0.428507,0.0032,0.0235947
0.0904767,0,0.428042,0.003,0.0207418
0.0969455,0,0.400652,0.00305,0.0223271
-0.0910239,0,0.357025,0.003,0.0113328
-0.0859053,0,0.360604,0.00305,0.0126151
0.0233683,0,0.411651,0.0032,0.0299343
