X,Y,Z,Qw,Qx,Qy,Qz,clump_type,absv
-0.09695976973,0,0.4280757904,0.5514446497,0,-0.8342115283,0,0001,1.564100785e-05
-0.09160796553,0,0.43177706,0.5939870477,0,-0.8044745922,0,0001,7.475447637e-05
-0.08463641256,0,0.4271939397,0.7088807225,0,0.7053284645,0,0001,7.909459964e-05
-0.07866516709,0,0.4259495735,0.7167010903,0,-0.6973805428,0,0001,8.304906805e-05
-0.09665566683,0,0.4216856956,0.8355857134,0,0.5493600965,0,0007,1.222519586e-05
-0.0862518847,0,0.4209507108,0.9023409486,0,-0.4310231507,0,0008,3.716106221e-05
-0.09676189721,0,0.4150957465,0.9342716336,0,-0.3565622866,0,0005,6.044701877e-06
-0.09002819657,0,0.4151963592,0.846229732,0,-0.5328181982,0,0010,2.565974319e-05
-0.07412283123,0,0.416484952,0.8348842859,0,0.5504254699,0,0010,9.698384383e-05
-0.08339799196,0,0.4147004485,0.9903069139,0,0.1388967633,0,0003,2.497750756e-05
-0.07981292903,0,0.419877708,0.7854685783,0,-0.6189015508,0,0003,0.0001079883586
-0.08606402576,0,0.4347387552,0.9573373199,0,-0.2889727652,0,0005,6.435866089e-05
-0.09695914388,0,0.4346827865,0.4477787912,0,0.8941444159,0,0001,4.749091022e-05
-0.07733734697,0,0.4103412628,0.9972253442,0,0.07444228977,0,0009,6.979668251e-05
-0.06857140362,0,0.412604928,0.8889700174,0,-0.4579654634,0,0006,0.0001172624688
-0.07983124256,0,0.4323199391,0.9589082003,0,-0.2837167084,0,0009,2.414584378e-05
-0.08631469309,0,0.4410178065,0.9132986665,0,-0.4072905481,0,0001,9.847290494e-05
-0.07431670278,0,0.4356447458,0.9551978111,0,0.2959684134,0,0000,5.996418258e-05
-0.0737939477,0,0.4296208024,0.9868513942,0,-0.1616306454,0,0001,0.0001476105099
-0.0556564033,0,0.4135793447,0.981990397,0,0.1889311075,0,0003,6.059775842e-05
-0.06211663038,0,0.4141400456,0.1829118133,0,0.9831293821,0,0007,6.120883336e-05
-0.07146840543,0,0.4068453312,0.6170085669,0,0.7869564891,0,0003,0.0001232235081
-0.05754885077,0,0.4075344801,0.995162189,0,-0.09824603051,0,0004,0.0001905479148
-0.08997498453,0,0.4085074663,0.4481113553,0,-0.8939777613,0,0004,5.536093522e-05
-0.09660891443,0,0.4084614515,0.9999344349,0,-0.01145025063,0,0008,1.211067138e-05
-0.09118869901,0,0.425455749,0.9328011274,0,0.3603915572,0,0006,4.018366963e-05
-0.06408580393,0,0.4077938795,0.9833513498,0,-0.1817146242,0,0006,0.0001865766681
-0.07942063361,0,0.4042019248,0.8790416121,0,-0.4767450988,0,0001,9.334628703e-05
-0.06758319587,0,0.4016347528,0.5076172948,0,0.8615826964,0,0007,9.983286873e-05
