X,Y,Z,r,absv
-0.09696,0,0.428078,0.00305,0.00140462
-0.0916049,0,0.43178,0.00305,0.00222798
-0.084637,0,0.427199,0.00305,0.00092342
-0.0786644,0,0.425958,0.00305,0.00246064
-0.0966558,0,0.421687,0.00335,0.00128469
-0.0862512,0,0.420954,0.0034,0.000600918
-0.0967623,0,0.415098,0.00325,0.000647433
-0.0900289,0,0.4152,0.0035,0.000821006
-0.0741215,0,0.416493,0.0035,0.00132936
-0.0833982,0,0.414708,0.00315,0.000904433
-0.0798117,0,0.419885,0.00315,0.00123142
-0.0860635,0,0.434748,0.00325,0.00145488
-0.0969583,0,0.434682,0.00305,0.00204434
-0.0773375,0,0.410349,0.00345,0.000508974
-0.0685715,0,0.412611,0.0033,0.00226381
-0.0798307,0,0.432329,0.00345,0.000443365
-0.0863155,0,0.441027,0.00305,0.00141754
-0.0743167,0,0.435654,0.003,0.000798878
-0.0737951,0,0.42963,0.00305,0.00310048
-0.0556554,0,0.413584,0.00315,0.00588934
-0.0621158,0,0.414143,0.00335,0.00515267
-0.071471,0,0.406852,0.00315,0.00228276
-0.0575485,0,0.407539,0.0032,0.00555885
-0.0899768,0,0.408511,0.0032,0.000900785
-0.0966091,0,0.408463,0.0034,0.000528959
-0.091189,0,0.425458,0.0033,0.00190206
-0.0640877,0,0.407798,0.0033,0.00276045
-0.0794221,0,0.404209,0.00305,0.000720646
-0.0675842,0,0.401641,0.00335,0.00187999
-0.0535024,0,0.402848,0.003,0.0067003
-0.0680333,0,0.431627,0.00305,0.00373798
-0.0684681,0,0.438096,0.00335,0.0032949
-0.0740577,0,0.401112,0.00315,0.000825177
-0.0609503,0,0.402018,0.0033,0.00328461
-0.0473312,0,0.404085,0.0033,0.00647957
-0.0513893,0,0.409025,0.0031,0.0052595
-0.049583,0,0.397763,0.00335,0.00791015
-0.0668406,0,0.425645,0.00305,0.00518751
-0.0605836,0,0.427363,0.00345,0.00376226
-0.0824262,0,0.398576,0.00335,0.000651866
-0.0890819,0,0.397244,0.00345,0.00048821
-0.0867202,0,0.403244,0.003,0.000872401
-0.0452219,0,0.410339,0.00305,0.00505697
-0.0671238,0,0.4191,0.00335,0.00529142
-0.0606496,0,0.420621,0.0033,0.00605386
-0.0540752,0,0.425825,0.00325,0.00337826
-0.0495868,0,0.430154,0.003,0.00523253
-0.0556592,0,0.432282,0.0034,0.00355011
-0.0485495,0,0.421539,0.0032,0.00235587
-0.0544291,0,0.419596,0.003,0.00346235
-0.0930594,0,0.402741,0.00335,0.000676054
-0.0430583,0,0.416484,0.0032,0.00464225
-0.0494028,0,0.415106,0.0033,0.00418053
-0.0494899,0,0.436679,0.0035,0.00384433
-0.0619589,0,0.433705,0.00305,0.0042482
-0.0391242,0,0.428328,0.003,0.00474148
-0.0372185,0,0.434223,0.0032,0.00602854
-0.0638593,0,0.396335,0.0031,0.00329588
-0.0563724,0,0.397022,0.0035,0.00575261
-0.044825,0,0.426477,0.003,0.00330108
-0.0970057,0,0.397777,0.003,0.000393279
-0.0901728,0,0.390803,0.0031,0.000519524
-0.0966198,0,0.391397,0.0034,0.000457603
-0.0841887,0,0.392383,0.0031,0.000681403
-0.0402974,0,0.422248,0.0032,0.00464045
-0.0353334,0,0.417981,0.00335,0.00624356
-0.0728203,0,0.423257,0.0034,0.00258946
-0.0966541,0,0.384652,0.00335,0.000686353
-0.086044,0,0.386212,0.0031,0.000895375
-0.0766127,0,0.394979,0.0035,0.00110163
-0.0837317,0,0.408519,0.00305,0.000736014
-0.0288072,0,0.418942,0.00325,0.00665615
-0.0382991,0,0.411997,0.00335,0.00621865
-0.0342359,0,0.424467,0.00325,0.00600513
-0.0906725,0,0.381878,0.00325,0.00105089
-0.0364556,0,0.400559,0.0031,0.00842597
-0.0389052,0,0.393661,0.00315,0.0088256
-0.032633,0,0.395366,0.00335,0.00767583
-0.0428614,0,0.398972,0.0035,0.00720444
-0.0597666,0,0.391329,0.00315,0.00546142
-0.0790583,0,0.388744,0.0032,0.00149146
-0.080962,0,0.382795,0.00305,0.0016701
-0.0851188,0,0.378407,0.003,0.00175051
-0.0339294,0,0.406865,0.0034,0.00690305
-0.0271313,0,0.407658,0.00345,0.00852357
-0.0312323,0,0.412884,0.0032,0.00717192
-0.0554277,0,0.43953,0.0031,0.00300055
-0.0417709,0,0.445451,0.00325,0.00518154
-0.0414259,0,0.439034,0.0032,0.00448223
-0.0295085,0,0.389725,0.0031,0.0072237
-0.0263102,0,0.396482,0.003,0.00795722
-0.0701119,0,0.395763,0.00305,0.00245684
-0.0727948,0,0.389675,0.00305,0.00173118
-0.0750001,0,0.384004,0.00305,0.00170589
-0.0791149,0,0.376844,0.0032,0.00210498
-0.0688136,0,0.384414,0.0031,0.00399626
-0.0242415,0,0.413976,0.0035,0.0083571
-0.0737946,0,0.441734,0.0031,0.00343529
-0.0795571,0,0.438958,0.0032,0.000848078
-0.0814995,0,0.445144,0.0033,0.00140326
-0.0349794,0,0.440427,0.0034,0.00888054
-0.0402699,0,0.451853,0.00335,0.00506596
-0.0538672,0,0.445428,0.003,0.00319473
-0.0354189,0,0.447112,0.0033,0.0103392
-0.0407073,0,0.405607,0.0035,0.0066854
-0.029961,0,0.401542,0.00325,0.00758478
-0.0110521,0,0.413615,0.0031,0.00688986
-0.00711609,0,0.418455,0.00315,0.00569371
-0.0207068,0,0.419899,0.0034,0.00922608
-0.0555129,0,0.386029,0.0034,0.00611315
-0.0522261,0,0.391771,0.0032,0.00712154
-0.0665187,0,0.390531,0.0033,0.00297916
-0.096554,0,0.377856,0.00345,0.000306497
-0.0841231,0,0.371497,0.00335,0.000751751
-0.0492581,0,0.449863,0.0034,0.00681984
-0.0458073,0,0.455777,0.00345,0.00653595
-0.0339005,0,0.453897,0.00335,0.00757898
-0.0134759,0,0.396817,0.00315,0.00766376
-0.0199723,0,0.396833,0.00335,0.00813736
-0.061976,0,0.440244,0.0035,0.00441366
-0.0169575,0,0.402746,0.0033,0.00785522
-0.0598668,0,0.446487,0.0031,0.00308296
-0.0668484,0,0.445046,0.00335,0.00438031
-0.0633443,0,0.451964,0.0034,0.00436509
-0.0102025,0,0.391099,0.00305,0.00752941
-0.0165411,0,0.391147,0.0033,0.00788897
-0.0231824,0,0.390968,0.00335,0.0082415
-0.0105769,0,0.402349,0.0031,0.00738895
-0.00703362,0,0.396582,0.0033,0.00733845
-0.0917042,0,0.437974,0.00315,0.00157187
-0.0755103,0,0.448101,0.0034,0.000820548
-0.0355973,0,0.388333,0.00315,0.00797406
-0.0969542,0,0.441262,0.00305,0.00124398
-0.0907682,0,0.44525,0.0031,0.00116639
-0.0216386,0,0.42648,0.00325,0.00882074
-0.0279053,0,0.425275,0.00315,0.00694665
-0.0747946,0,0.372286,0.0031,0.00272969
-0.0904672,0,0.375592,0.00305,0.00135131
-0.071599,0,0.378432,0.0035,0.00303683
-0.0905217,0,0.369056,0.0035,0.00179958
-0.0453728,0,0.392121,0.0035,0.0083656
-0.069668,0,0.450782,0.00305,0.00294207
-0.00215065,0,0.392586,0.003,0.00703075
0.00196767,0,0.400827,0.00345,0.00514805
-0.00438555,0,0.40239,0.0031,0.00631555
-0.0179541,0,0.442884,0.00315,0.00685346
-0.0293178,0,0.448937,0.00305,0.0126401
-0.0234969,0,0.445969,0.0032,0.00662931
-0.0128379,0,0.385503,0.00315,0.00761483
-0.0190753,0,0.385281,0.0031,0.00778487
-0.0254801,0,0.384693,0.00335,0.00818777
-0.0233636,0,0.40231,0.0031,0.00895852
-0.0204229,0,0.408355,0.0033,0.00870723
-0.013734,0,0.408147,0.003,0.00924542
-0.0488108,0,0.386431,0.00315,0.00668135
-0.0623188,0,0.385266,0.00345,0.00449185
-0.0515898,0,0.380724,0.0032,0.00574618
-0.0676032,0,0.372954,0.0033,0.00419805
-0.0967995,0,0.371257,0.00315,0.0027779
-0.0708973,0,0.367553,0.00305,0.00409746
-0.0911786,0,0.36215,0.00345,0.00242154
-0.00532298,0,0.387377,0.0031,0.00751813
-0.0387482,0,0.38244,0.0034,0.00745193
-0.0158232,0,0.38014,0.003,0.00768368
-0.0319653,0,0.382915,0.0034,0.00749883
-0.0251336,0,0.432068,0.00335,0.00789679
-0.0437275,0,0.432819,0.00345,0.00379057
-0.0965602,0,0.448281,0.00345,0.0007151
-0.0862143,0,0.450018,0.0035,0.00152271
-0.0970003,0,0.365111,0.003,0.000736662
-0.0289345,0,0.4428,0.0031,0.00875024
-0.0451737,0,0.381361,0.0031,0.00671608
-0.0348175,0,0.376829,0.00335,0.00665938
-0.0477371,0,0.375554,0.00325,0.0050319
-0.0582561,0,0.379953,0.00325,0.00369469
-0.0647763,0,0.378951,0.00335,0.0041286
-0.00285051,0,0.413633,0.0033,0.00639082
0.00168632,0,0.418348,0.00325,0.00518837
-0.0072836,0,0.40826,0.00345,0.00594264
-0.0525401,0,0.457229,0.00345,0.00499581
-0.0392785,0,0.458206,0.0031,0.00577464
-0.0273652,0,0.455326,0.00335,0.00810552
0.0145019,0,0.399422,0.00315,0.00299954
0.00401573,0,0.394298,0.0034,0.00550901
0.0166769,0,0.393474,0.0032,0.00356113
0.0104344,0,0.393693,0.00305,0.00507295
0.00824174,0,0.399331,0.003,0.0041999
-0.0141729,0,0.437429,0.0035,0.00700175
-0.00993285,0,0.442679,0.00325,0.00561403
0.00515817,0,0.423959,0.00335,0.00468049
0.0127316,0,0.423254,0.0034,0.00496627
0.00384971,0,0.412337,0.00315,0.00510031
-0.0317098,0,0.430604,0.0034,0.00621303
-0.00409603,0,0.449497,0.00325,0.00596516
-0.00324019,0,0.44237,0.00345,0.00745062
-0.0168375,0,0.448913,0.003,0.00713565
0.0294003,0,0.38919,0.00345,0.00365009
0.0265305,0,0.395882,0.00315,0.00410591
0.0225552,0,0.390293,0.0035,0.003134
0.0207362,0,0.398331,0.00315,0.0032853
-0.0305963,0,0.371238,0.0033,0.00587655
-0.0110823,0,0.375872,0.0034,0.00724923
-0.0503697,0,0.369342,0.0035,0.00544618
-0.03708,0,0.370713,0.0032,0.00609487
0.00614645,0,0.406184,0.00335,0.0050662
-0.00042253,0,0.407455,0.00335,0.00563895
0.0102782,0,0.411465,0.00335,0.00399284
0.0145741,0,0.430882,0.003,0.00308412
0.0195251,0,0.427247,0.00315,0.00309928
0.0189126,0,0.420943,0.0032,0.00316559
0.0147082,0,0.416204,0.00315,0.00349498
-0.00189977,0,0.424049,0.0035,0.00422967
-0.0542492,0,0.374851,0.00325,0.00454406
0.0259792,0,0.42567,0.0035,0.00273669
0.0309186,0,0.421,0.0033,0.00203146
0.0275637,0,0.432275,0.0033,0.00242991
-0.0226368,0,0.438324,0.0034,0.00856845
-0.0295674,0,0.436685,0.00305,0.00859911
0.0135135,0,0.388174,0.003,0.00365522
0.0325724,0,0.394784,0.003,0.00402384
0.00836463,0,0.417978,0.00345,0.00499749
0.0397465,0,0.384421,0.0033,0.00289178
0.0428273,0,0.390407,0.00345,0.00380961
0.0386624,0,0.395508,0.00315,0.00359767
0.0306684,0,0.400563,0.0031,0.00442969
0.0475415,0,0.39522,0.0033,0.004478
0.0484512,0,0.387066,0.0031,0.00301094
