X,Y,Z,r,absv
-0.953211,-0.48117,-0.483964,0.016,2.3453e-06
-0.964714,-0.473738,-0.48402,0.016,2.3453e-06
-0.953798,-0.467855,-0.484022,0.016,2.3453e-06
-0.901251,-0.483627,-0.484002,0.016,6.80773e-07
-0.911206,-0.474221,-0.484002,0.016,6.80773e-07
-0.8994,-0.470428,-0.484002,0.016,6.80773e-07
-0.843864,-0.484009,-0.484006,0.016,2.29593e-06
-0.852554,-0.473423,-0.484011,0.016,2.29593e-06
-0.840364,-0.471148,-0.484009,0.016,2.29593e-06
-0.790629,-0.484014,-0.483858,0.016,2.31338e-06
-0.798425,-0.472756,-0.484021,0.016,2.31338e-06
-0.786114,-0.471488,-0.483262,0.016,2.31338e-06
-0.735974,-0.483967,-0.48378,0.016,2.53121e-06
-0.743605,-0.472597,-0.484019,0.016,2.53121e-06
-0.731254,-0.471504,-0.483946,0.016,2.53121e-06
-0.680608,-0.483258,-0.483676,0.016,1.34569e-06
-0.688985,-0.472429,-0.484018,0.016,1.34569e-06
-0.676738,-0.470505,-0.48375,0.016,1.34569e-06
-0.628752,-0.483997,-0.483868,0.016,1.51902e-06
-0.636689,-0.472838,-0.484024,0.016,1.51902e-06
-0.624376,-0.471409,-0.483706,0.016,1.51902e-06
-0.573141,-0.483942,-0.483999,0.016,3.60369e-06
-0.582298,-0.473759,-0.484016,0.016,3.60369e-06
-0.570226,-0.47094,-0.483728,0.016,3.60369e-06
-0.519122,-0.483555,-0.483939,0.016,5.2414e-06
-0.527148,-0.472458,-0.484022,0.016,5.2414e-06
-0.514842,-0.470933,-0.484021,0.016,5.2414e-06
-0.466014,-0.484007,-0.483689,0.016,7.20889e-06
-0.473099,-0.472291,-0.484011,0.016,7.20889e-06
-0.460709,-0.471784,-0.484003,0.016,7.20889e-06
-0.411258,-0.483926,-0.484002,0.016,7.30129e-07
-0.418773,-0.472476,-0.484002,0.016,7.30129e-07
-0.40641,-0.471511,-0.484002,0.016,7.30129e-07
-0.35639,-0.483804,-0.484003,0.016,6.86585e-06
-0.364061,-0.472458,-0.484004,0.016,6.86585e-06
-0.351713,-0.471323,-0.484003,0.016,6.86585e-06
-0.302568,-0.483989,-0.483991,0.016,1.97327e-05
-0.310883,-0.473107,-0.483966,0.016,1.97327e-05
-0.298622,-0.471259,-0.484014,0.016,1.97327e-05
-0.249353,-0.483996,-0.483747,0.016,1.6009e-05
-0.256069,-0.472063,-0.484015,0.016,1.6009e-05
-0.243669,-0.471943,-0.484007,0.016,1.6009e-05
-0.196136,-0.483963,-0.484002,0.016,6.52312e-07
-0.203751,-0.47258,-0.484002,0.016,6.52312e-07
-0.191397,-0.471506,-0.484002,0.016,6.52312e-07
-0.140788,-0.483987,-0.48401,0.016,2.13832e-05
-0.148956,-0.472994,-0.484019,0.016,2.13832e-05
-0.136672,-0.471311,-0.483855,0.016,2.13832e-05
-0.0868981,-0.483984,-0.484,0.016,2.90118e-05
-0.0953085,-0.473175,-0.484014,0.016,2.90118e-05
-0.0830672,-0.471221,-0.483707,0.016,2.90118e-05
-0.0347698,-0.483708,-0.483947,0.016,2.63729e-05
-0.0424273,-0.472354,-0.484008,0.016,2.63729e-05
-0.0300781,-0.471233,-0.484019,0.016,2.63729e-05
0.0212036,-0.483588,-0.483976,0.016,3.54585e-05
0.0129277,-0.472676,-0.483975,0.016,3.54585e-05
0.0251956,-0.470871,-0.48402,0.016,3.54585e-05
0.0740925,-0.483915,-0.484004,0.016,2.63786e-05
0.0663799,-0.472598,-0.484003,0.016,2.63786e-05
0.0787155,-0.471423,-0.483542,0.016,2.63786e-05
0.127751,-0.483986,-0.484,0.016,3.51842e-05
0.120767,-0.472205,-0.484021,0.016,3.51842e-05
0.133161,-0.471805,-0.484012,0.016,3.51842e-05
0.182529,-0.484004,-0.483982,0.016,1.49264e-05
0.17415,-0.473172,-0.484003,0.016,1.49264e-05
0.1864,-0.471251,-0.484004,0.016,1.49264e-05
0.236656,-0.483967,-0.483978,0.016,3.28083e-05
0.228622,-0.472875,-0.484017,0.016,3.28083e-05
0.240927,-0.471342,-0.484006,0.016,3.28083e-05
0.290329,-0.484006,-0.483996,0.016,2.15757e-05
