X,Y,Z,r,absv
-0.953209,-0.48117,-0.483963,0.016,6.58125e-06
-0.964712,-0.473737,-0.48402,0.016,6.58125e-06
-0.953796,-0.467855,-0.484021,0.016,6.58125e-06
-0.901249,-0.483625,-0.484002,0.016,7.15845e-07
-0.911204,-0.474219,-0.484002,0.016,7.15845e-07
-0.899398,-0.470426,-0.484002,0.016,7.15845e-07
-0.843862,-0.484008,-0.484006,0.016,5.3105e-06
-0.852552,-0.473423,-0.484011,0.016,5.3105e-06
-0.840362,-0.471148,-0.484009,0.016,5.3105e-06
-0.790628,-0.484013,-0.483857,0.016,7.48562e-06
-0.798424,-0.472755,-0.48402,0.016,7.48562e-06
-0.786112,-0.471488,-0.483261,0.016,7.48562e-06
-0.735972,-0.483965,-0.48378,0.016,7.29364e-06
-0.743604,-0.472596,-0.484019,0.016,7.29364e-06
-0.731252,-0.471502,-0.483945,0.016,7.29364e-06
-0.680606,-0.483257,-0.483676,0.016,1.02551e-05
-0.688983,-0.472427,-0.484018,0.016,1.02551e-05
-0.676736,-0.470503,-0.48375,0.016,1.02551e-05
-0.62875,-0.483996,-0.483869,0.016,9.90225e-06
-0.636687,-0.472836,-0.484024,0.016,9.90225e-06
-0.624374,-0.471407,-0.483706,0.016,9.90225e-06
-0.573139,-0.483941,-0.483999,0.016,1.27904e-05
-0.582296,-0.473757,-0.484016,0.016,1.27904e-05
-0.570224,-0.470938,-0.483728,0.016,1.27904e-05
-0.51912,-0.483553,-0.48394,0.016,1.05164e-05
-0.527146,-0.472457,-0.484022,0.016,1.05164e-05
-0.51484,-0.470931,-0.484021,0.016,1.05164e-05
-0.466013,-0.484006,-0.483689,0.016,9.44016e-06
-0.473097,-0.47229,-0.484011,0.016,9.44016e-06
-0.460707,-0.471783,-0.484003,0.016,9.44016e-06
-0.411256,-0.483924,-0.484002,0.016,6.36305e-07
-0.418771,-0.472474,-0.484002,0.016,6.36305e-07
-0.406408,-0.471509,-0.484002,0.016,6.36305e-07
-0.356388,-0.483802,-0.484003,0.016,7.11727e-06
-0.364059,-0.472456,-0.484004,0.016,7.11727e-06
-0.351711,-0.471321,-0.484004,0.016,7.11727e-06
-0.302566,-0.483988,-0.483992,0.016,1.58177e-05
-0.310881,-0.473106,-0.483966,0.016,1.58177e-05
-0.29862,-0.471258,-0.484014,0.016,1.58177e-05
-0.249351,-0.483994,-0.483747,0.016,1.62914e-05
-0.256067,-0.472061,-0.484015,0.016,1.62914e-05
-0.243667,-0.471942,-0.484007,0.016,1.62914e-05
-0.196134,-0.483961,-0.484002,0.016,6.85772e-07
-0.203749,-0.472578,-0.484002,0.016,6.85772e-07
-0.191395,-0.471504,-0.484002,0.016,6.85772e-07
-0.140786,-0.483985,-0.484011,0.016,2.915e-05
-0.148955,-0.472993,-0.484019,0.016,2.915e-05
-0.13667,-0.471309,-0.483855,0.016,2.915e-05
-0.0868961,-0.483982,-0.484,0.016,2.19186e-05
-0.0953066,-0.473173,-0.484014,0.016,2.19186e-05
-0.0830654,-0.471219,-0.483706,0.016,2.19186e-05
-0.0347676,-0.483706,-0.483947,0.016,1.82018e-05
-0.0424257,-0.472352,-0.484008,0.016,1.82018e-05
-0.0300765,-0.47123,-0.484019,0.016,1.82018e-05
0.0212048,-0.483586,-0.483976,0.016,2.68511e-05
0.012929,-0.472674,-0.483975,0.016,2.68511e-05
0.025197,-0.47087,-0.48402,0.016,2.68511e-05
0.0740939,-0.483914,-0.484004,0.016,1.075e-05
0.0663814,-0.472597,-0.484003,0.016,1.075e-05
0.078717,-0.471422,-0.483542,0.016,1.075e-05
0.127752,-0.483985,-0.484,0.016,1.82743e-05
0.120769,-0.472204,-0.484021,0.016,1.82743e-05
0.133163,-0.471804,-0.484011,0.016,1.82743e-05
0.18253,-0.484005,-0.483981,0.016,1.35456e-05
0.17415,-0.473172,-0.484003,0.016,1.35456e-05
0.186401,-0.471251,-0.484004,0.016,1.35456e-05
0.236658,-0.483966,-0.483979,0.016,1.41079e-05
0.228624,-0.472874,-0.484017,0.016,1.41079e-05
0.240929,-0.47134,-0.484006,0.016,1.41079e-05
0.290331,-0.484005,-0.483996,0.016,1.51495e-05
0.282064,-0.473086,-0.484013,0.016,1.51495e-05
0.294334,-0.471292,-0.484018,0.016,1.51495e-05
0.343828,-0.48372,-0.484003,0.016,1.45026e-05
0.335664,-0.472724,-0.484004,0.016,1.45026e-05
0.347945,-0.471049,-0.483629,0.016,1.45026e-05
0.39815,-0.483782,-0.483969,0.016,3.61631e-05
0.389946,-0.472816,-0.483965,0.016,3.61631e-05
0.402226,-0.471093,-0.484015,0.016,3.61631e-05
0.452021,-0.483949,-0.483982,0.016,1.87813e-05
0.44513,-0.472114,-0.48402,0.016,1.87813e-05
0.457527,-0.471812,-0.484005,0.016,1.87813e-05
0.506749,-0.484003,-0.483927,0.016,7.27351e-07
0.499608,-0.472317,-0.484003,0.016,7.27351e-07
0.511995,-0.471751,-0.484003,0.016,7.27351e-07
