X,Y,Z,r,absv
-0.95321,-0.48117,-0.483963,0.016,1.43871e-06
-0.964713,-0.473738,-0.48402,0.016,1.43871e-06
-0.953797,-0.467855,-0.484022,0.016,1.43871e-06
-0.90125,-0.483626,-0.484002,0.016,6.52283e-07
-0.911205,-0.474221,-0.484002,0.016,6.52283e-07
-0.8994,-0.470427,-0.484002,0.016,6.52283e-07
-0.843863,-0.484008,-0.484006,0.016,2.71246e-06
-0.852553,-0.473423,-0.484011,0.016,2.71246e-06
-0.840364,-0.471148,-0.484009,0.016,2.71246e-06
-0.790629,-0.484014,-0.483858,0.016,1.05098e-06
-0.798425,-0.472755,-0.484021,0.016,1.05098e-06
-0.786113,-0.471488,-0.483262,0.016,1.05098e-06
-0.735974,-0.483966,-0.48378,0.016,3.99101e-06
-0.743605,-0.472597,-0.484019,0.016,3.99101e-06
-0.731253,-0.471503,-0.483946,0.016,3.99101e-06
-0.680608,-0.483258,-0.483676,0.016,4.8447e-06
-0.688984,-0.472428,-0.484018,0.016,4.8447e-06
-0.676737,-0.470504,-0.48375,0.016,4.8447e-06
-0.628752,-0.483997,-0.483869,0.016,5.92183e-06
-0.636689,-0.472837,-0.484024,0.016,5.92183e-06
-0.624376,-0.471408,-0.483706,0.016,5.92183e-06
-0.57314,-0.483942,-0.483999,0.016,5.73016e-06
-0.582297,-0.473758,-0.484016,0.016,5.73016e-06
-0.570225,-0.470939,-0.483728,0.016,5.73016e-06
-0.519121,-0.483554,-0.483939,0.016,6.54035e-06
-0.527147,-0.472458,-0.484022,0.016,6.54035e-06
-0.514841,-0.470932,-0.484021,0.016,6.54035e-06
-0.466014,-0.484007,-0.483689,0.016,4.30538e-06
-0.473098,-0.472291,-0.484011,0.016,4.30538e-06
-0.460709,-0.471784,-0.484003,0.016,4.30538e-06
-0.411258,-0.483925,-0.484002,0.016,6.06736e-07
-0.418772,-0.472476,-0.484002,0.016,6.06736e-07
-0.40641,-0.47151,-0.484002,0.016,6.06736e-07
-0.35639,-0.483803,-0.484003,0.016,3.65097e-06
-0.36406,-0.472457,-0.484004,0.016,3.65097e-06
-0.351712,-0.471323,-0.484004,0.016,3.65097e-06
-0.302568,-0.483989,-0.483991,0.016,1.16846e-05
-0.310882,-0.473106,-0.483966,0.016,1.16846e-05
-0.298621,-0.471258,-0.484014,0.016,1.16846e-05
-0.249353,-0.483995,-0.483747,0.016,7.22148e-06
-0.256068,-0.472062,-0.484015,0.016,7.22148e-06
-0.243668,-0.471943,-0.484007,0.016,7.22148e-06
-0.196136,-0.483963,-0.484002,0.016,7.43905e-07
-0.20375,-0.472579,-0.484002,0.016,7.43905e-07
-0.191397,-0.471505,-0.484002,0.016,7.43905e-07
-0.140787,-0.483986,-0.48401,0.016,6.86995e-06
-0.148956,-0.472994,-0.484019,0.016,6.86995e-06
-0.136671,-0.47131,-0.483855,0.016,6.86995e-06
-0.0868969,-0.483983,-0.483999,0.016,1.07118e-05
-0.0953076,-0.473174,-0.484013,0.016,1.07118e-05
-0.0830664,-0.47122,-0.483707,0.016,1.07118e-05
-0.0347681,-0.483706,-0.483947,0.016,1.42471e-05
-0.0424263,-0.472352,-0.484008,0.016,1.42471e-05
-0.0300771,-0.471231,-0.484019,0.016,1.42471e-05
0.0212041,-0.483586,-0.483975,0.016,2.18368e-05
0.0129285,-0.472674,-0.483975,0.016,2.18368e-05
0.0251964,-0.47087,-0.48402,0.016,2.18368e-05
0.0740928,-0.483915,-0.484004,0.016,1.63713e-05
0.0663803,-0.472598,-0.484003,0.016,1.63713e-05
0.0787159,-0.471423,-0.483542,0.016,1.63713e-05
0.127751,-0.483985,-0.484,0.016,1.8791e-05
0.120768,-0.472204,-0.484021,0.016,1.8791e-05
0.133162,-0.471805,-0.484012,0.016,1.8791e-05
0.18253,-0.484005,-0.483982,0.016,1.60106e-05
0.17415,-0.473172,-0.484003,0.016,1.60106e-05
0.1864,-0.471251,-0.484004,0.016,1.60106e-05
0.236657,-0.483966,-0.483978,0.016,1.28086e-05
0.228623,-0.472875,-0.484017,0.016,1.28086e-05
0.240928,-0.471341,-0.484006,0.016,1.28086e-05
0.29033,-0.484006,-0.483996,0.016,1.17127e-05
0.282063,-0.473087,-0.484013,0.016,1.17127e-05
0.294332,-0.471293,-0.484018,0.016,1.17127e-05
0.343827,-0.483721,-0.484003,0.016,3.70364e-06
0.335663,-0.472725,-0.484004,0.016,3.70364e-06
0.347943,-0.47105,-0.483629,0.016,3.70364e-06
0.398149,-0.483783,-0.483969,0.016,1.26331e-05
0.389945,-0.472817,-0.483965,0.016,1.26331e-05
0.402225,-0.471094,-0.484015,0.016,1.26331e-05
0.452019,-0.483951,-0.483982,0.016,6.58142e-06
0.445129,-0.472115,-0.48402,0.016,6.58142e-06
0.457525,-0.471813,-0.484005,0.016,6.58142e-06
0.506749,-0.484003,-0.483927,0.016,7.34218e-07
0.499608,-0.472317,-0.484003,0.016,7.34218e-07
0.511995,-0.471751,-0.484003,0.016,7.34218e-07
0.560065,-0.483971,-0.483587,0.016,7.94072e-06
0.553132,-0.472168,-0.484011,0.016,7.94072e-06
0.565527,-0.471821,-0.484016,0.016,7.94072e-06
0.614779,-0.483827,-0.484004,0.016,5.81153e-06
0.606511,-0.472909,-0.484004,0.016,5.81153e-06
0.618779,-0.471114,-0.48384,0.016,5.81153e-06
0.667336,-0.483994,-0.483974,0.016,1.25816e-05
0.659035,-0.473101,-0.484017,0.016,1.25816e-05
0.671299,-0.471269,-0.484008,0.016,1.25816e-05
0.723462,-0.48346,-0.484008,0.016,6.88094e-06
0.714213,-0.47336,-0.484011,0.016,6.88094e-06
0.726259,-0.470432,-0.483747,0.016,6.88094e-06
0.776257,-0.483741,-0.484005,0.016,1.23394e-05
0.76809,-0.472748,-0.484013,0.016,1.23394e-05
0.780375,-0.471065,-0.483928,0.016,1.23394e-05
0.829884,-0.484012,-0.484005,0.016,8.05182e-06
0.821895,-0.472888,-0.484013,0.016,8.05182e-06
0.834205,-0.471404,-0.483984,0.016,8.05182e-06
0.887822,-0.483998,-0.483461,0.016,1.11646e-05
0.879419,-0.473198,-0.484022,0.016,1.11646e-05
0.891665,-0.471247,-0.484006,0.016,1.11646e-05
0.958213,-0.48402,-0.484021,0.016,4.01967e-06
0.949838,-0.473214,-0.48322,0.016,4.01967e-06
0.962057,-0.471258,-0.484022,0.016,4.01967e-06
-0.939189,-0.43482,-0.480981,0.016,8.08588e-07
-0.94042,-0.421527,-0.484037,0.016,8.08588e-07
-0.929062,-0.426362,-0.482865,0.016,8.08588e-07
-0.868944,-0.439056,-0.484004,0.016,2.20513e-07
-0.878061,-0.428836,-0.48401,0.016,2.20513e-07
-0.865975,-0.426062,-0.484018,0.016,2.20513e-07
-0.813662,-0.438127,-0.484014,0.016,6.66868e-07
-0.821919,-0.427201,-0.483998,0.016,6.66868e-07
-0.809648,-0.425418,-0.484014,0.016,6.66868e-07
-0.760493,-0.4381,-0.484013,0.016,3.15476e-06
-0.768981,-0.427353,-0.484009,0.016,3.15476e-06
-0.756751,-0.425308,-0.48402,0.016,3.15476e-06
-0.706934,-0.437952,-0.484015,0.016,4.50725e-06
-0.713862,-0.426138,-0.484008,0.016,4.50725e-06
-0.701466,-0.425797,-0.484013,0.016,4.50725e-06
-0.654233,-0.438915,-0.484011,0.016,7.50434e-06
-0.662266,-0.427824,-0.484015,0.016,7.50434e-06
-0.649965,-0.426293,-0.483716,0.016,7.50434e-06
-0.599532,-0.43769,-0.48401,0.016,8.27522e-06
-0.608689,-0.427506,-0.483983,0.016,8.27522e-06
-0.596614,-0.424685,-0.484011,0.016,8.27522e-06
-0.544233,-0.439022,-0.484009,0.016,8.17365e-06
-0.552895,-0.428415,-0.484017,0.016,8.17365e-06
-0.5407,-0.426171,-0.484008,0.016,8.17365e-06
-0.490742,-0.438482,-0.484013,0.016,1.01717e-05
-0.498249,-0.427033,-0.483667,0.016,1.01717e-05
-0.485891,-0.426068,-0.484006,0.016,1.01717e-05
-0.436825,-0.438398,-0.484021,0.016,1.20823e-05
-0.444582,-0.427111,-0.484019,0.016,1.20823e-05
-0.432248,-0.425886,-0.483645,0.016,1.20823e-05
-0.382987,-0.439164,-0.484023,0.016,1.29009e-05
-0.392484,-0.429296,-0.484023,0.016,1.29009e-05
-0.380513,-0.426068,-0.483908,0.016,1.29009e-05
-0.329771,-0.438493,-0.484014,0.016,1.16827e-05
-0.33694,-0.426824,-0.484014,0.016,1.16827e-05
-0.324554,-0.426228,-0.484021,0.016,1.16827e-05
-0.274022,-0.437467,-0.484004,0.016,8.90383e-06
-0.280909,-0.42563,-0.483972,0.016,8.90383e-06
-0.268513,-0.425331,-0.484013,0.016,8.90383e-06
-0.220837,-0.438765,-0.484012,0.016,9.18276e-06
-0.22743,-0.426761,-0.484021,0.016,9.18276e-06
-0.215031,-0.426768,-0.483899,0.016,9.18276e-06
-0.165684,-0.43853,-0.484014,0.016,8.12776e-06
-0.173876,-0.427555,-0.484017,0.016,8.12776e-06
-0.161594,-0.425845,-0.484007,0.016,8.12776e-06
-0.111634,-0.438423,-0.484012,0.016,5.65891e-06
-0.120593,-0.428065,-0.48402,0.016,5.65891e-06
-0.108466,-0.425477,-0.484019,0.016,5.65891e-06
-0.0586168,-0.438394,-0.484006,0.016,1.1644e-05
-0.0668271,-0.427432,-0.484013,0.016,1.1644e-05
-0.0545484,-0.425702,-0.484013,0.016,1.1644e-05
-0.00397841,-0.437881,-0.484013,0.016,2.06199e-05
-0.0118371,-0.426665,-0.484004,0.016,2.06199e-05
0.000490244,-0.425325,-0.484015,0.016,2.06199e-05
0.0491812,-0.438022,-0.484014,0.016,1.99475e-05
0.0422428,-0.426214,-0.484015,0.016,1.99475e-05
0.0546372,-0.425862,-0.483894,0.016,1.99475e-05
0.102096,-0.438485,-0.484015,0.016,2.67138e-05
0.0938103,-0.427581,-0.48402,0.016,2.67138e-05
0.106071,-0.425769,-0.483641,0.016,2.67138e-05
0.15805,-0.438144,-0.484014,0.016,2.29764e-05
0.148671,-0.428165,-0.484019,0.016,2.29764e-05
0.160681,-0.425078,-0.484007,0.016,2.29764e-05
0.212352,-0.437555,-0.484019,0.016,2.14294e-05
0.203289,-0.427287,-0.484016,0.016,2.14294e-05
0.215389,-0.424578,-0.484012,0.016,2.14294e-05
0.265838,-0.437815,-0.484006,0.016,3.00942e-05
0.257385,-0.427039,-0.483912,0.016,3.00942e-05
0.269622,-0.425035,-0.484008,0.016,3.00942e-05
0.31908,-0.438431,-0.484012,0.016,2.1734e-05
0.311772,-0.426848,-0.484012,0.016,2.1734e-05
0.32415,-0.426104,-0.484013,0.016,2.1734e-05
0.373302,-0.437239,-0.484021,0.016,1.59814e-05
0.365762,-0.425806,-0.483972,0.016,1.59814e-05
0.378123,-0.424813,-0.484017,0.016,1.59814e-05
0.427802,-0.437674,-0.484002,0.016,6.4736e-07
0.418972,-0.427205,-0.484002,0.016,6.4736e-07
0.43113,-0.424767,-0.484002,0.016,6.4736e-07
0.480427,-0.438236,-0.484015,0.016,1.02825e-05
0.472899,-0.426795,-0.484021,0.016,1.02825e-05
0.485246,-0.425823,-0.483419,0.016,1.02825e-05
0.536683,-0.4372,-0.484003,0.016,3.26062e-06
0.527992,-0.426616,-0.484001,0.016,3.26062e-06
0.540181,-0.42434,-0.484007,0.016,3.26062e-06
0.588369,-0.43796,-0.484011,0.016,1.25904e-05
0.580916,-0.426471,-0.48401,0.016,1.25904e-05
0.593259,-0.425587,-0.483223,0.016,1.25904e-05
0.642991,-0.438527,-0.484015,0.016,1.76713e-05
0.634553,-0.42774,-0.484026,0.016,1.76713e-05
0.646789,-0.425755,-0.4837,0.016,1.76713e-05
0.696788,-0.438422,-0.484013,0.016,1.19683e-05
0.688837,-0.427271,-0.484005,0.016,1.19683e-05
0.701152,-0.425829,-0.483863,0.016,1.19683e-05
0.750571,-0.43738,-0.484017,0.016,1.53208e-05
0.744111,-0.425303,-0.484009,0.016,1.53208e-05
0.75651,-0.425448,-0.484006,0.016,1.53208e-05
0.804535,-0.438626,-0.48401,0.016,1.87795e-05
0.797354,-0.426965,-0.484017,0.016,1.87795e-05
0.809738,-0.426356,-0.48385,0.016,1.87795e-05
0.859834,-0.437497,-0.484002,0.016,1.26519e-05
0.851232,-0.42684,-0.484005,0.016,1.26519e-05
0.86344,-0.424666,-0.484006,0.016,1.26519e-05
0.935758,-0.437025,-0.483896,0.016,1.26215e-05
0.922586,-0.433279,-0.484022,0.016,1.26215e-05
0.931306,-0.424463,-0.484007,0.016,1.26215e-05
-0.963413,-0.398889,-0.484003,0.016,2.8897e-06
-0.966833,-0.385627,-0.483976,0.016,2.8897e-06
-0.95482,-0.3887,-0.484013,0.016,2.8897e-06
-0.895921,-0.39122,-0.484002,0.016,5.56327e-07
-0.906046,-0.381998,-0.484002,0.016,5.56327e-07
-0.894312,-0.377989,-0.484002,0.016,5.56327e-07
-0.841313,-0.392078,-0.484011,0.016,2.3252e-06
-0.849503,-0.381102,-0.483924,0.016,2.3252e-06
-0.837222,-0.379394,-0.484013,0.016,2.3252e-06
-0.787325,-0.391449,-0.484012,0.016,4.07656e-06
-0.79589,-0.380763,-0.484009,0.016,4.07656e-06
-0.783676,-0.378631,-0.483865,0.016,4.07656e-06
-0.733536,-0.390543,-0.484019,0.016,8.69471e-06
-0.742022,-0.379794,-0.484021,0.016,8.69471e-06
-0.729806,-0.377763,-0.483389,0.016,8.69471e-06
-0.680501,-0.390476,-0.484009,0.016,1.05863e-05
-0.690172,-0.380778,-0.484013,0.016,1.05863e-05
-0.678261,-0.37734,-0.483718,0.016,1.05863e-05
-0.626155,-0.390432,-0.48401,0.016,1.13886e-05
-0.63396,-0.379179,-0.48402,0.016,1.13886e-05
-0.621634,-0.377901,-0.483593,0.016,1.13886e-05
-0.571552,-0.390726,-0.484017,0.016,1.31591e-05
-0.580349,-0.380229,-0.484011,0.016,1.31591e-05
-0.568183,-0.37783,-0.484012,0.016,1.31591e-05
-0.517568,-0.390128,-0.48401,0.016,1.26e-05
-0.526394,-0.379657,-0.483956,0.016,1.26e-05
-0.514235,-0.377223,-0.484019,0.016,1.26e-05
-0.463187,-0.391298,-0.483999,0.016,1.69869e-05
-0.471533,-0.38044,-0.483999,0.016,1.69869e-05
