X,Y,Z,r,absv
-0.953204,-0.481167,-0.483963,0.016,7.96157e-05
-0.964707,-0.473735,-0.484019,0.016,7.96157e-05
-0.953791,-0.467852,-0.484019,0.016,7.96157e-05
-0.90124,-0.483616,-0.484002,0.016,2.63416e-06
-0.911195,-0.47421,-0.484002,0.016,2.63416e-06
-0.89939,-0.470417,-0.484002,0.016,2.63416e-06
-0.843856,-0.484004,-0.484006,0.016,4.0814e-05
-0.852546,-0.473419,-0.48401,0.016,4.0814e-05
-0.840356,-0.471144,-0.484008,0.016,4.0814e-05
-0.790621,-0.48401,-0.483856,0.016,4.64344e-05
-0.798417,-0.472751,-0.484019,0.016,4.64344e-05
-0.786106,-0.471484,-0.48326,0.016,4.64344e-05
-0.735967,-0.483961,-0.48378,0.016,6.45657e-05
-0.743598,-0.472591,-0.484019,0.016,6.45657e-05
-0.731246,-0.471498,-0.483945,0.016,6.45657e-05
-0.6806,-0.483252,-0.483678,0.016,8.39763e-05
-0.688976,-0.472422,-0.484019,0.016,8.39763e-05
-0.676729,-0.470499,-0.483751,0.016,8.39763e-05
-0.628743,-0.483991,-0.483871,0.016,7.67343e-05
-0.63668,-0.472832,-0.484024,0.016,7.67343e-05
-0.624366,-0.471403,-0.483707,0.016,7.67343e-05
-0.573131,-0.483937,-0.484001,0.016,6.65981e-05
-0.582288,-0.473753,-0.484016,0.016,6.65981e-05
-0.570216,-0.470934,-0.483729,0.016,6.65981e-05
-0.519112,-0.483549,-0.483942,0.016,4.59435e-05
-0.527138,-0.472452,-0.484022,0.016,4.59435e-05
-0.514832,-0.470927,-0.484021,0.016,4.59435e-05
-0.466006,-0.484002,-0.483688,0.016,2.40847e-05
-0.47309,-0.472286,-0.48401,0.016,2.40847e-05
-0.4607,-0.471779,-0.484002,0.016,2.40847e-05
-0.41125,-0.483918,-0.484002,0.016,1.07995e-06
-0.418764,-0.472468,-0.484002,0.016,1.07995e-06
-0.406402,-0.471503,-0.484002,0.016,1.07995e-06
-0.356381,-0.483796,-0.484004,0.016,1.37314e-05
-0.364052,-0.47245,-0.484004,0.016,1.37314e-05
-0.351704,-0.471315,-0.484004,0.016,1.37314e-05
-0.302559,-0.483984,-0.483994,0.016,1.65743e-05
-0.310874,-0.473102,-0.483967,0.016,1.65743e-05
-0.298613,-0.471253,-0.484015,0.016,1.65743e-05
-0.249342,-0.483989,-0.483749,0.016,3.52639e-05
-0.256059,-0.472057,-0.484015,0.016,3.52639e-05
-0.24366,-0.471935,-0.484008,0.016,3.52639e-05
-0.196127,-0.483954,-0.484002,0.016,1.14022e-06
-0.203741,-0.472571,-0.484002,0.016,1.14022e-06
-0.191388,-0.471497,-0.484002,0.016,1.14022e-06
-0.140783,-0.483977,-0.48401,0.016,8.31741e-05
-0.14895,-0.472984,-0.48402,0.016,8.31741e-05
-0.136666,-0.471302,-0.483854,0.016,8.31741e-05
-0.0868918,-0.483975,-0.483999,0.016,8.2141e-05
-0.0953013,-0.473166,-0.484014,0.016,8.2141e-05
-0.08306,-0.471213,-0.483705,0.016,8.2141e-05
-0.0347611,-0.483699,-0.483948,0.016,5.00045e-05
-0.0424198,-0.472346,-0.484009,0.016,5.00045e-05
-0.0300707,-0.471224,-0.484019,0.016,5.00045e-05
0.0212093,-0.48358,-0.483978,0.016,3.77949e-05
0.0129339,-0.472667,-0.483977,0.016,3.77949e-05
0.0252019,-0.470864,-0.48402,0.016,3.77949e-05
0.0740995,-0.483908,-0.484004,0.016,2.19943e-05
0.0663873,-0.47259,-0.484003,0.016,2.19943e-05
0.0787229,-0.471416,-0.483541,0.016,2.19943e-05
0.127758,-0.483979,-0.484001,0.016,3.79147e-05
0.120775,-0.472198,-0.484021,0.016,3.79147e-05
0.133168,-0.471798,-0.484011,0.016,3.79147e-05
0.182535,-0.484002,-0.483978,0.016,2.88357e-05
0.174156,-0.47317,-0.484003,0.016,2.88357e-05
0.186406,-0.471248,-0.484004,0.016,2.88357e-05
0.236664,-0.483961,-0.48398,0.016,6.15534e-05
0.22863,-0.472869,-0.484018,0.016,6.15534e-05
0.240935,-0.471336,-0.484006,0.016,6.15534e-05
0.290337,-0.484,-0.483996,0.016,6.51022e-05
0.28207,-0.473081,-0.484013,0.016,6.51022e-05
0.29434,-0.471287,-0.484017,0.016,6.51022e-05
0.343834,-0.483715,-0.484004,0.016,3.19543e-05
0.33567,-0.472719,-0.484004,0.016,3.19543e-05
0.347951,-0.471044,-0.483629,0.016,3.19543e-05
0.398155,-0.483777,-0.483972,0.016,4.93129e-05
0.389952,-0.472811,-0.483967,0.016,4.93129e-05
0.402232,-0.471088,-0.484015,0.016,4.93129e-05
0.452028,-0.483943,-0.483983,0.016,1.5369e-05
0.445138,-0.472108,-0.48402,0.016,1.5369e-05
0.457534,-0.471806,-0.484005,0.016,1.5369e-05
0.506754,-0.484001,-0.483927,0.016,4.06258e-07
0.499612,-0.472315,-0.484003,0.016,4.06258e-07
0.512,-0.471749,-0.484003,0.016,4.06258e-07
0.560074,-0.483964,-0.483587,0.016,3.79533e-05
0.553141,-0.472161,-0.484011,0.016,3.79533e-05
0.565536,-0.471814,-0.484016,0.016,3.79533e-05
0.614788,-0.483821,-0.484005,0.016,0.00011989
0.606519,-0.472903,-0.484004,0.016,0.00011989
0.618787,-0.471108,-0.48384,0.016,0.00011989
0.667344,-0.483988,-0.483976,0.016,0.000131178
0.659043,-0.473095,-0.484018,0.016,0.000131178
0.671307,-0.471262,-0.484008,0.016,0.000131178
0.723469,-0.483453,-0.484009,0.016,0.000112742
0.71422,-0.473353,-0.484012,0.016,0.000112742
0.726267,-0.470424,-0.483748,0.016,0.000112742
0.776266,-0.483734,-0.484006,0.016,8.80662e-05
0.768098,-0.472741,-0.484013,0.016,8.80662e-05
0.780383,-0.471058,-0.483928,0.016,8.80662e-05
0.829892,-0.484008,-0.484004,0.016,9.93167e-05
0.821904,-0.472884,-0.484012,0.016,9.93167e-05
0.834215,-0.4714,-0.483982,0.016,9.93167e-05
0.887831,-0.483992,-0.48346,0.016,0.000103804
0.879428,-0.473192,-0.484021,0.016,0.000103804
0.891674,-0.471241,-0.484006,0.016,0.000103804
0.95822,-0.484016,-0.48402,0.016,6.95913e-05
0.949845,-0.47321,-0.483219,0.016,6.95913e-05
0.962064,-0.471254,-0.484021,0.016,6.95913e-05
-0.939181,-0.434816,-0.48098,0.016,0.000263635
-0.940413,-0.421522,-0.484035,0.016,0.000263635
-0.929054,-0.426357,-0.482863,0.016,0.000263635
-0.868936,-0.439049,-0.484004,0.016,8.4355e-05
-0.878053,-0.428829,-0.484009,0.016,8.4355e-05
-0.865967,-0.426055,-0.484017,0.016,8.4355e-05
-0.813654,-0.43812,-0.484013,0.016,7.00657e-05
-0.821911,-0.427194,-0.483998,0.016,7.00657e-05
-0.80964,-0.425411,-0.484012,0.016,7.00657e-05
-0.760484,-0.438093,-0.484012,0.016,4.61172e-05
-0.768973,-0.427346,-0.484008,0.016,4.61172e-05
-0.756743,-0.425301,-0.48402,0.016,4.61172e-05
-0.706926,-0.437945,-0.484015,0.016,6.21778e-05
-0.713854,-0.426131,-0.484007,0.016,6.21778e-05
-0.701458,-0.42579,-0.484012,0.016,6.21778e-05
-0.654224,-0.438909,-0.484011,0.016,8.82489e-05
-0.662258,-0.427817,-0.484014,0.016,8.82489e-05
-0.649956,-0.426286,-0.483716,0.016,8.82489e-05
-0.599523,-0.437684,-0.48401,0.016,7.85338e-05
-0.60868,-0.4275,-0.483982,0.016,7.85338e-05
-0.596605,-0.424679,-0.48401,0.016,7.85338e-05
-0.544224,-0.439016,-0.48401,0.016,6.12227e-05
-0.552887,-0.428409,-0.484016,0.016,6.12227e-05
-0.540691,-0.426165,-0.484008,0.016,6.12227e-05
-0.490734,-0.438476,-0.484012,0.016,6.22458e-05
-0.498241,-0.427027,-0.483666,0.016,6.22458e-05
-0.485883,-0.426061,-0.484005,0.016,6.22458e-05
-0.436817,-0.438391,-0.48402,0.016,4.37381e-05
-0.444574,-0.427104,-0.484018,0.016,4.37381e-05
-0.43224,-0.425879,-0.483644,0.016,4.37381e-05
-0.382979,-0.439157,-0.484022,0.016,2.88874e-05
-0.392477,-0.42929,-0.484023,0.016,2.88874e-05
-0.380505,-0.426061,-0.483907,0.016,2.88874e-05
-0.329764,-0.438487,-0.484014,0.016,1.97248e-05
-0.336932,-0.426818,-0.484013,0.016,1.97248e-05
-0.324547,-0.426223,-0.48402,0.016,1.97248e-05
-0.274013,-0.437463,-0.484004,0.016,3.6601e-05
-0.280899,-0.425625,-0.48397,0.016,3.6601e-05
-0.268503,-0.425327,-0.484012,0.016,3.6601e-05
-0.220831,-0.438757,-0.484011,0.016,7.55565e-05
-0.227424,-0.426753,-0.484022,0.016,7.55565e-05
-0.215024,-0.42676,-0.483898,0.016,7.55565e-05
-0.165677,-0.438519,-0.484012,0.016,7.62825e-05
-0.173869,-0.427544,-0.484018,0.016,7.62825e-05
-0.161587,-0.425834,-0.484008,0.016,7.62825e-05
-0.111627,-0.438414,-0.48401,0.016,7.37778e-05
-0.120586,-0.428056,-0.484021,0.016,7.37778e-05
-0.108459,-0.425468,-0.484018,0.016,7.37778e-05
-0.0586097,-0.438386,-0.484006,0.016,5.10615e-05
-0.0668192,-0.427424,-0.484013,0.016,5.10615e-05
-0.0545405,-0.425694,-0.484012,0.016,5.10615e-05
-0.0039722,-0.437872,-0.484012,0.016,3.51444e-05
-0.0118301,-0.426655,-0.484004,0.016,3.51444e-05
0.000497356,-0.425316,-0.484014,0.016,3.51444e-05
0.0491867,-0.438016,-0.484013,0.016,2.464e-05
0.0422493,-0.426207,-0.484014,0.016,2.464e-05
0.0546437,-0.425856,-0.483891,0.016,2.464e-05
0.102104,-0.438478,-0.484015,0.016,5.1516e-05
0.0938181,-0.427574,-0.48402,0.016,5.1516e-05
0.106079,-0.425762,-0.48364,0.016,5.1516e-05
0.158057,-0.438137,-0.484014,0.016,6.37699e-05
0.148678,-0.428157,-0.484019,0.016,6.37699e-05
0.160688,-0.425071,-0.484006,0.016,6.37699e-05
0.212359,-0.437548,-0.484018,0.016,8.08326e-05
0.203296,-0.427281,-0.484016,0.016,8.08326e-05
0.215396,-0.424571,-0.484011,0.016,8.08326e-05
0.265846,-0.437806,-0.484006,0.016,9.88574e-05
0.257393,-0.427031,-0.483913,0.016,9.88574e-05
0.26963,-0.425027,-0.484008,0.016,9.88574e-05
0.319087,-0.438422,-0.484012,0.016,7.83144e-05
0.31178,-0.426839,-0.484013,0.016,7.83144e-05
0.324158,-0.426096,-0.484012,0.016,7.83144e-05
0.373309,-0.437231,-0.48402,0.016,4.64847e-05
0.36577,-0.425798,-0.483972,0.016,4.64847e-05
0.37813,-0.424805,-0.484017,0.016,4.64847e-05
0.427808,-0.437659,-0.484002,0.016,3.26677e-06
0.418977,-0.427191,-0.484002,0.016,3.26677e-06
0.431136,-0.424753,-0.484002,0.016,3.26677e-06
0.480436,-0.438228,-0.484015,0.016,3.44468e-05
0.472908,-0.426788,-0.484021,0.016,3.44468e-05
0.485255,-0.425816,-0.483418,0.016,3.44468e-05
0.53669,-0.437194,-0.484003,0.016,1.74047e-05
0.527999,-0.42661,-0.484,0.016,1.74047e-05
0.540189,-0.424334,-0.484006,0.016,1.74047e-05
0.588377,-0.437953,-0.484011,0.016,8.55622e-05
0.580924,-0.426464,-0.48401,0.016,8.55622e-05
0.593268,-0.42558,-0.483223,0.016,8.55622e-05
0.642999,-0.43852,-0.484014,0.016,0.000168366
0.634561,-0.427733,-0.484026,0.016,0.000168366
0.646797,-0.425749,-0.4837,0.016,0.000168366
0.696796,-0.438415,-0.484012,0.016,7.76359e-05
0.688845,-0.427263,-0.484005,0.016,7.76359e-05
0.70116,-0.425822,-0.483863,0.016,7.76359e-05
0.750578,-0.437373,-0.484017,0.016,8.98788e-05
0.744119,-0.425297,-0.484009,0.016,8.98788e-05
0.756518,-0.425442,-0.484005,0.016,8.98788e-05
0.804544,-0.438619,-0.484009,0.016,0.000208525
0.797362,-0.426957,-0.484016,0.016,0.000208525
0.809746,-0.426349,-0.483849,0.016,0.000208525
