X,Y,Z,r,absv
-0.953205,-0.481168,-0.483963,0.016,7.89993e-06
-0.964708,-0.473735,-0.484019,0.016,7.89993e-06
-0.953792,-0.467853,-0.48402,0.016,7.89993e-06
-0.901242,-0.483617,-0.484002,0.016,1.83081e-06
-0.911197,-0.474212,-0.484002,0.016,1.83081e-06
-0.899391,-0.470418,-0.484002,0.016,1.83081e-06
-0.843857,-0.484005,-0.484006,0.016,9.64284e-06
-0.852546,-0.473419,-0.48401,0.016,9.64284e-06
-0.840357,-0.471144,-0.484008,0.016,9.64284e-06
-0.790622,-0.48401,-0.483856,0.016,1.10048e-05
-0.798418,-0.472752,-0.484019,0.016,1.10048e-05
-0.786106,-0.471484,-0.48326,0.016,1.10048e-05
-0.735967,-0.483961,-0.48378,0.016,2.23184e-05
-0.743598,-0.472591,-0.484019,0.016,2.23184e-05
-0.731247,-0.471498,-0.483945,0.016,2.23184e-05
-0.6806,-0.483252,-0.483678,0.016,2.8387e-05
-0.688976,-0.472423,-0.484019,0.016,2.8387e-05
-0.67673,-0.470499,-0.483751,0.016,2.8387e-05
-0.628743,-0.483991,-0.48387,0.016,2.48788e-05
-0.63668,-0.472832,-0.484024,0.016,2.48788e-05
-0.624367,-0.471403,-0.483707,0.016,2.48788e-05
-0.573132,-0.483937,-0.484001,0.016,2.25241e-05
-0.582289,-0.473754,-0.484016,0.016,2.25241e-05
-0.570217,-0.470935,-0.483729,0.016,2.25241e-05
-0.519113,-0.48355,-0.483942,0.016,5.18293e-05
-0.527139,-0.472453,-0.484022,0.016,5.18293e-05
-0.514833,-0.470928,-0.484022,0.016,5.18293e-05
-0.466007,-0.484003,-0.483688,0.016,8.97827e-05
-0.473091,-0.472287,-0.484011,0.016,8.97827e-05
-0.460701,-0.47178,-0.484002,0.016,8.97827e-05
-0.41125,-0.483919,-0.484002,0.016,1.58277e-06
-0.418764,-0.472469,-0.484002,0.016,1.58277e-06
-0.406402,-0.471504,-0.484002,0.016,1.58277e-06
-0.356382,-0.483797,-0.484004,0.016,0.000153246
-0.364052,-0.472451,-0.484004,0.016,0.000153246
-0.351704,-0.471317,-0.484004,0.016,0.000153246
-0.302559,-0.483985,-0.483994,0.016,0.000142354
-0.310875,-0.473103,-0.483967,0.016,0.000142354
-0.298614,-0.471254,-0.484015,0.016,0.000142354
-0.249343,-0.48399,-0.483749,0.016,9.93183e-05
-0.25606,-0.472058,-0.484015,0.016,9.93183e-05
-0.243661,-0.471936,-0.484008,0.016,9.93183e-05
-0.196128,-0.483955,-0.484002,0.016,6.01518e-07
-0.203742,-0.472572,-0.484002,0.016,6.01518e-07
-0.191389,-0.471498,-0.484002,0.016,6.01518e-07
-0.140783,-0.483978,-0.48401,0.016,4.48559e-05
-0.148951,-0.472985,-0.48402,0.016,4.48559e-05
-0.136666,-0.471303,-0.483854,0.016,4.48559e-05
-0.0868926,-0.483975,-0.483998,0.016,2.95399e-05
-0.095302,-0.473166,-0.484014,0.016,2.95399e-05
-0.0830607,-0.471213,-0.483705,0.016,2.95399e-05
-0.034762,-0.4837,-0.483948,0.016,1.62788e-05
-0.0424206,-0.472346,-0.484009,0.016,1.62788e-05
-0.0300715,-0.471224,-0.484019,0.016,1.62788e-05
0.0212085,-0.48358,-0.483977,0.016,1.21514e-05
0.0129332,-0.472668,-0.483977,0.016,1.21514e-05
0.0252013,-0.470864,-0.484019,0.016,1.21514e-05
0.074099,-0.483908,-0.484004,0.016,1.83459e-06
0.0663867,-0.472591,-0.484003,0.016,1.83459e-06
0.0787223,-0.471416,-0.483542,0.016,1.83459e-06
0.127758,-0.48398,-0.484001,0.016,1.14772e-05
0.120774,-0.472199,-0.484021,0.016,1.14772e-05
0.133168,-0.471799,-0.484011,0.016,1.14772e-05
0.182535,-0.484003,-0.483978,0.016,8.60297e-06
0.174155,-0.47317,-0.484003,0.016,8.60297e-06
0.186405,-0.471249,-0.484004,0.016,8.60297e-06
0.236663,-0.483962,-0.48398,0.016,5.19026e-06
0.22863,-0.47287,-0.484018,0.016,5.19026e-06
0.240935,-0.471336,-0.484006,0.016,5.19026e-06
0.290337,-0.484001,-0.483996,0.016,8.32852e-06
0.28207,-0.473082,-0.484013,0.016,8.32852e-06
0.294339,-0.471288,-0.484017,0.016,8.32852e-06
0.343834,-0.483716,-0.484004,0.016,3.10176e-06
0.33567,-0.47272,-0.484004,0.016,3.10176e-06
0.347951,-0.471045,-0.483629,0.016,3.10176e-06
0.398155,-0.483778,-0.483972,0.016,8.70019e-06
0.389952,-0.472811,-0.483966,0.016,8.70019e-06
0.402231,-0.471088,-0.484015,0.016,8.70019e-06
0.452027,-0.483944,-0.483983,0.016,8.02248e-06
0.445137,-0.472108,-0.48402,0.016,8.02248e-06
0.457534,-0.471807,-0.484005,0.016,8.02248e-06
0.506754,-0.484002,-0.483927,0.016,8.93344e-07
0.499612,-0.472316,-0.484003,0.016,8.93344e-07
0.512,-0.471749,-0.484003,0.016,8.93344e-07
0.560073,-0.483965,-0.483587,0.016,4.92915e-06
0.55314,-0.472162,-0.484011,0.016,4.92915e-06
0.565535,-0.471815,-0.484016,0.016,4.92915e-06
0.614786,-0.483822,-0.484004,0.016,3.59896e-06
0.606518,-0.472904,-0.484004,0.016,3.59896e-06
0.618786,-0.471109,-0.48384,0.016,3.59896e-06
0.667343,-0.483988,-0.483976,0.016,5.33617e-06
0.659042,-0.473095,-0.484018,0.016,5.33617e-06
0.671306,-0.471263,-0.484008,0.016,5.33617e-06
0.723468,-0.483454,-0.484008,0.016,1.40956e-06
0.714219,-0.473354,-0.484012,0.016,1.40956e-06
0.726265,-0.470425,-0.483747,0.016,1.40956e-06
0.776265,-0.483735,-0.484006,0.016,3.71585e-06
0.768097,-0.472742,-0.484013,0.016,3.71585e-06
0.780382,-0.471059,-0.483928,0.016,3.71585e-06
0.829892,-0.484008,-0.484004,0.016,1.17954e-06
0.821903,-0.472885,-0.484012,0.016,1.17954e-06
0.834214,-0.4714,-0.483982,0.016,1.17954e-06
0.88783,-0.483993,-0.483461,0.016,1.69341e-06
0.879427,-0.473193,-0.484022,0.016,1.69341e-06
0.891672,-0.471243,-0.484006,0.016,1.69341e-06
0.958219,-0.484017,-0.48402,0.016,8.69506e-07
0.949844,-0.473211,-0.483219,0.016,8.69506e-07
0.962062,-0.471255,-0.484021,0.016,8.69506e-07
-0.939182,-0.434816,-0.48098,0.016,1.88408e-05
-0.940413,-0.421523,-0.484035,0.016,1.88408e-05
-0.929055,-0.426358,-0.482864,0.016,1.88408e-05
-0.868936,-0.439049,-0.484004,0.016,1.76838e-05
-0.878053,-0.42883,-0.48401,0.016,1.76838e-05
-0.865968,-0.426056,-0.484018,0.016,1.76838e-05
-0.813655,-0.438121,-0.484013,0.016,1.91192e-05
-0.821912,-0.427195,-0.483998,0.016,1.91192e-05
-0.809641,-0.425412,-0.484013,0.016,1.91192e-05
-0.760485,-0.438093,-0.484012,0.016,2.47843e-05
-0.768974,-0.427346,-0.484008,0.016,2.47843e-05
-0.756743,-0.425301,-0.48402,0.016,2.47843e-05
-0.706926,-0.437945,-0.484015,0.016,3.0242e-05
-0.713854,-0.426131,-0.484007,0.016,3.0242e-05
-0.701459,-0.42579,-0.484012,0.016,3.0242e-05
-0.654225,-0.438909,-0.484011,0.016,3.94054e-05
-0.662258,-0.427818,-0.484014,0.016,3.94054e-05
-0.649957,-0.426286,-0.483716,0.016,3.94054e-05
-0.599524,-0.437684,-0.48401,0.016,2.83992e-05
-0.60868,-0.4275,-0.483982,0.016,2.83992e-05
-0.596606,-0.424679,-0.48401,0.016,2.83992e-05
-0.544224,-0.439017,-0.48401,0.016,2.98218e-05
-0.552887,-0.42841,-0.484016,0.016,2.98218e-05
-0.540692,-0.426165,-0.484008,0.016,2.98218e-05
-0.490735,-0.438478,-0.484013,0.016,8.59932e-05
-0.498241,-0.427028,-0.483666,0.016,8.59932e-05
-0.485884,-0.426064,-0.484005,0.016,8.59932e-05
-0.436818,-0.438393,-0.484021,0.016,0.000170057
-0.444575,-0.427106,-0.484019,0.016,0.000170057
-0.432241,-0.425881,-0.483645,0.016,0.000170057
-0.38298,-0.439159,-0.484023,0.016,0.000179772
-0.392477,-0.429292,-0.484023,0.016,0.000179772
-0.380506,-0.426063,-0.483907,0.016,0.000179772
-0.329764,-0.438489,-0.484015,0.016,0.000174909
-0.336933,-0.42682,-0.484013,0.016,0.000174909
-0.324547,-0.426224,-0.48402,0.016,0.000174909
-0.274013,-0.437463,-0.484004,0.016,0.000106342
-0.2809,-0.425626,-0.48397,0.016,0.000106342
-0.268504,-0.425327,-0.484012,0.016,0.000106342
-0.220832,-0.438758,-0.484011,0.016,0.000107721
-0.227424,-0.426753,-0.484022,0.016,0.000107721
-0.215025,-0.426762,-0.483898,0.016,0.000107721
-0.165678,-0.43852,-0.484013,0.016,8.0824e-05
-0.173869,-0.427545,-0.484018,0.016,8.0824e-05
-0.161588,-0.425835,-0.484008,0.016,8.0824e-05
-0.111628,-0.438415,-0.48401,0.016,3.65636e-05
-0.120587,-0.428056,-0.484021,0.016,3.65636e-05
-0.10846,-0.425469,-0.484018,0.016,3.65636e-05
-0.0586106,-0.438387,-0.484006,0.016,2.35375e-05
-0.0668199,-0.427425,-0.484013,0.016,2.35375e-05
-0.0545411,-0.425695,-0.484012,0.016,2.35375e-05
-0.00397301,-0.437873,-0.484012,0.016,1.26337e-05
-0.0118307,-0.426656,-0.484004,0.016,1.26337e-05
0.000496694,-0.425316,-0.484014,0.016,1.26337e-05
0.0491862,-0.438016,-0.484013,0.016,1.65035e-05
0.0422487,-0.426208,-0.484014,0.016,1.65035e-05
0.0546431,-0.425857,-0.483891,0.016,1.65035e-05
0.102103,-0.438479,-0.484015,0.016,1.83479e-05
0.0938175,-0.427574,-0.48402,0.016,1.83479e-05
0.106079,-0.425763,-0.48364,0.016,1.83479e-05
0.158057,-0.438138,-0.484014,0.016,1.57768e-05
0.148678,-0.428158,-0.484019,0.016,1.57768e-05
0.160688,-0.425072,-0.484006,0.016,1.57768e-05
0.212359,-0.437549,-0.484018,0.016,1.26063e-05
0.203296,-0.427281,-0.484016,0.016,1.26063e-05
0.215396,-0.424571,-0.484011,0.016,1.26063e-05
0.265845,-0.437807,-0.484006,0.016,1.20375e-05
