X,Y,Z,r,absv
-0.953205,-0.481168,-0.483963,0.016,3.9933e-06
-0.964708,-0.473736,-0.484019,0.016,3.9933e-06
-0.953792,-0.467853,-0.48402,0.016,3.9933e-06
-0.901242,-0.483618,-0.484002,0.016,3.0563e-06
-0.911197,-0.474212,-0.484002,0.016,3.0563e-06
-0.899392,-0.470419,-0.484002,0.016,3.0563e-06
-0.843857,-0.484005,-0.484006,0.016,3.54111e-06
-0.852547,-0.47342,-0.484011,0.016,3.54111e-06
-0.840357,-0.471144,-0.484008,0.016,3.54111e-06
-0.790622,-0.48401,-0.483856,0.016,4.08077e-06
-0.798418,-0.472752,-0.484019,0.016,4.08077e-06
-0.786107,-0.471485,-0.48326,0.016,4.08077e-06
-0.735968,-0.483961,-0.48378,0.016,8.29658e-06
-0.743599,-0.472591,-0.484019,0.016,8.29658e-06
-0.731247,-0.471498,-0.483945,0.016,8.29658e-06
-0.6806,-0.483252,-0.483678,0.016,1.20264e-05
-0.688977,-0.472423,-0.484019,0.016,1.20264e-05
-0.67673,-0.470499,-0.483751,0.016,1.20264e-05
-0.628744,-0.483991,-0.48387,0.016,1.14329e-05
-0.636681,-0.472832,-0.484024,0.016,1.14329e-05
-0.624368,-0.471403,-0.483707,0.016,1.14329e-05
-0.573132,-0.483937,-0.484001,0.016,8.3235e-06
-0.582289,-0.473753,-0.484016,0.016,8.3235e-06
-0.570217,-0.470934,-0.483729,0.016,8.3235e-06
-0.519113,-0.48355,-0.483941,0.016,6.3542e-06
-0.527139,-0.472453,-0.484022,0.016,6.3542e-06
-0.514834,-0.470928,-0.484021,0.016,6.3542e-06
-0.466007,-0.484003,-0.483688,0.016,3.21465e-06
-0.473091,-0.472287,-0.484011,0.016,3.21465e-06
-0.460702,-0.47178,-0.484002,0.016,3.21465e-06
-0.41125,-0.483919,-0.484002,0.016,2.23185e-06
-0.418764,-0.472469,-0.484002,0.016,2.23185e-06
-0.406402,-0.471504,-0.484002,0.016,2.23185e-06
-0.356382,-0.483797,-0.484004,0.016,2.31935e-06
-0.364052,-0.472451,-0.484004,0.016,2.31935e-06
-0.351704,-0.471317,-0.484004,0.016,2.31935e-06
-0.302559,-0.483984,-0.483994,0.016,4.52434e-06
-0.310875,-0.473103,-0.483967,0.016,4.52434e-06
-0.298614,-0.471254,-0.484015,0.016,4.52434e-06
-0.249343,-0.48399,-0.483749,0.016,4.10062e-06
-0.25606,-0.472058,-0.484015,0.016,4.10062e-06
-0.243661,-0.471936,-0.484008,0.016,4.10062e-06
-0.196128,-0.483955,-0.484002,0.016,7.6752e-07
-0.203742,-0.472572,-0.484002,0.016,7.6752e-07
-0.191389,-0.471498,-0.484002,0.016,7.6752e-07
-0.140784,-0.483978,-0.48401,0.016,5.0305e-06
-0.148951,-0.472985,-0.48402,0.016,5.0305e-06
-0.136666,-0.471303,-0.483854,0.016,5.0305e-06
-0.086893,-0.483976,-0.483998,0.016,5.3924e-06
-0.0953024,-0.473166,-0.484014,0.016,5.3924e-06
-0.083061,-0.471214,-0.483705,0.016,5.3924e-06
-0.0347621,-0.4837,-0.483947,0.016,4.6115e-06
-0.0424207,-0.472346,-0.484009,0.016,4.6115e-06
-0.0300716,-0.471225,-0.484019,0.016,4.6115e-06
0.0212084,-0.48358,-0.483977,0.016,4.29977e-06
0.0129331,-0.472668,-0.483976,0.016,4.29977e-06
0.0252011,-0.470864,-0.48402,0.016,4.29977e-06
0.0740988,-0.483909,-0.484004,0.016,2.70198e-06
0.0663866,-0.472591,-0.484003,0.016,2.70198e-06
0.0787222,-0.471417,-0.483542,0.016,2.70198e-06
0.127757,-0.48398,-0.484001,0.016,4.05396e-06
0.120774,-0.472199,-0.484021,0.016,4.05396e-06
0.133167,-0.471799,-0.484011,0.016,4.05396e-06
0.182534,-0.484003,-0.483979,0.016,2.64386e-06
0.174155,-0.473171,-0.484003,0.016,2.64386e-06
0.186405,-0.471249,-0.484004,0.016,2.64386e-06
0.236663,-0.483962,-0.48398,0.016,3.47152e-06
0.228629,-0.47287,-0.484018,0.016,3.47152e-06
0.240934,-0.471337,-0.484006,0.016,3.47152e-06
0.290336,-0.484001,-0.483996,0.016,1.975e-06
0.28207,-0.473082,-0.484013,0.016,1.975e-06
0.294339,-0.471288,-0.484017,0.016,1.975e-06
0.343834,-0.483716,-0.484004,0.016,1.72677e-06
0.33567,-0.47272,-0.484004,0.016,1.72677e-06
0.34795,-0.471045,-0.483629,0.016,1.72677e-06
0.398155,-0.483778,-0.483972,0.016,2.78655e-06
0.389951,-0.472812,-0.483966,0.016,2.78655e-06
0.402231,-0.471089,-0.484015,0.016,2.78655e-06
0.452027,-0.483945,-0.483983,0.016,3.04336e-06
0.445137,-0.472109,-0.48402,0.016,3.04336e-06
0.457533,-0.471807,-0.484005,0.016,3.04336e-06
0.506753,-0.484002,-0.483927,0.016,8.43429e-07
0.499612,-0.472316,-0.484003,0.016,8.43429e-07
0.511999,-0.47175,-0.484003,0.016,8.43429e-07
0.560072,-0.483965,-0.483587,0.016,1.03793e-06
0.553139,-0.472162,-0.484011,0.016,1.03793e-06
0.565535,-0.471815,-0.484016,0.016,1.03793e-06
0.614786,-0.483822,-0.484004,0.016,1.33196e-06
0.606518,-0.472904,-0.484004,0.016,1.33196e-06
0.618786,-0.471109,-0.48384,0.016,1.33196e-06
0.667343,-0.483988,-0.483976,0.016,1.23464e-06
0.659042,-0.473095,-0.484018,0.016,1.23464e-06
0.671306,-0.471263,-0.484008,0.016,1.23464e-06
0.723468,-0.483454,-0.484008,0.016,1.57005e-06
0.714219,-0.473354,-0.484012,0.016,1.57005e-06
0.726265,-0.470425,-0.483747,0.016,1.57005e-06
0.776264,-0.483735,-0.484006,0.016,1.31795e-06
0.768097,-0.472742,-0.484013,0.016,1.31795e-06
0.780382,-0.471059,-0.483928,0.016,1.31795e-06
0.829891,-0.484008,-0.484004,0.016,8.84026e-07
0.821902,-0.472885,-0.484012,0.016,8.84026e-07
0.834213,-0.4714,-0.483982,0.016,8.84026e-07
0.88783,-0.483993,-0.483461,0.016,1.61492e-06
0.879427,-0.473194,-0.484022,0.016,1.61492e-06
0.891672,-0.471243,-0.484006,0.016,1.61492e-06
0.958219,-0.484017,-0.48402,0.016,1.46132e-06
0.949844,-0.473211,-0.483219,0.016,1.46132e-06
0.962062,-0.471255,-0.484021,0.016,1.46132e-06
-0.939182,-0.434816,-0.48098,0.016,1.02304e-05
-0.940414,-0.421523,-0.484035,0.016,1.02304e-05
-0.929055,-0.426358,-0.482864,0.016,1.02304e-05
-0.868937,-0.43905,-0.484004,0.016,4.99811e-06
-0.878054,-0.42883,-0.48401,0.016,4.99811e-06
-0.865968,-0.426056,-0.484018,0.016,4.99811e-06
-0.813655,-0.438121,-0.484013,0.016,4.7622e-06
-0.821912,-0.427195,-0.483998,0.016,4.7622e-06
-0.809641,-0.425412,-0.484013,0.016,4.7622e-06
-0.760486,-0.438094,-0.484012,0.016,7.23959e-06
-0.768974,-0.427346,-0.484008,0.016,7.23959e-06
-0.756744,-0.425301,-0.48402,0.016,7.23959e-06
-0.706927,-0.437945,-0.484015,0.016,8.00396e-06
-0.713854,-0.426131,-0.484007,0.016,8.00396e-06
-0.701459,-0.42579,-0.484012,0.016,8.00396e-06
-0.654225,-0.438909,-0.484011,0.016,1.22386e-05
-0.662259,-0.427818,-0.484014,0.016,1.22386e-05
-0.649957,-0.426287,-0.483716,0.016,1.22386e-05
-0.599524,-0.437684,-0.48401,0.016,9.67611e-06
-0.608681,-0.427501,-0.483982,0.016,9.67611e-06
-0.596606,-0.42468,-0.48401,0.016,9.67611e-06
-0.544225,-0.439016,-0.48401,0.016,8.79971e-06
-0.552887,-0.428409,-0.484016,0.016,8.79971e-06
-0.540692,-0.426165,-0.484008,0.016,8.79971e-06
-0.490734,-0.438477,-0.484013,0.016,7.84373e-06
-0.498242,-0.427028,-0.483666,0.016,7.84373e-06
-0.485884,-0.426063,-0.484005,0.016,7.84373e-06
-0.436818,-0.438393,-0.484021,0.016,4.70332e-06
-0.444575,-0.427105,-0.484018,0.016,4.70332e-06
-0.432241,-0.425881,-0.483644,0.016,4.70332e-06
-0.38298,-0.439159,-0.484023,0.016,4.93777e-06
-0.392477,-0.429291,-0.484023,0.016,4.93777e-06
-0.380506,-0.426063,-0.483907,0.016,4.93777e-06
-0.329764,-0.438489,-0.484014,0.016,4.33388e-06
-0.336933,-0.42682,-0.484013,0.016,4.33388e-06
-0.324547,-0.426224,-0.48402,0.016,4.33388e-06
-0.274014,-0.437463,-0.484004,0.016,5.1065e-06
-0.280901,-0.425625,-0.48397,0.016,5.1065e-06
-0.268504,-0.425327,-0.484012,0.016,5.1065e-06
-0.220832,-0.438758,-0.484011,0.016,4.20191e-06
-0.227425,-0.426753,-0.484022,0.016,4.20191e-06
-0.215025,-0.426761,-0.483898,0.016,4.20191e-06
-0.165678,-0.43852,-0.484013,0.016,5.06752e-06
-0.17387,-0.427545,-0.484018,0.016,5.06752e-06
