X,Y,Z,r,absv
-0.953208,-0.48117,-0.483963,0.016,3.46632e-06
-0.964711,-0.473737,-0.484019,0.016,3.46632e-06
-0.953795,-0.467854,-0.484021,0.016,3.46632e-06
-0.901247,-0.483623,-0.484002,0.016,7.36416e-07
-0.911202,-0.474218,-0.484002,0.016,7.36416e-07
-0.899397,-0.470424,-0.484002,0.016,7.36416e-07
-0.843861,-0.484007,-0.484006,0.016,3.28954e-06
-0.852551,-0.473422,-0.484011,0.016,3.28954e-06
-0.840361,-0.471147,-0.484009,0.016,3.28954e-06
-0.790626,-0.484013,-0.483857,0.016,2.90693e-06
-0.798422,-0.472754,-0.48402,0.016,2.90693e-06
-0.786111,-0.471487,-0.483261,0.016,2.90693e-06
-0.735971,-0.483964,-0.48378,0.016,4.91094e-06
-0.743602,-0.472595,-0.484019,0.016,4.91094e-06
-0.731251,-0.471501,-0.483945,0.016,4.91094e-06
-0.680605,-0.483256,-0.483677,0.016,3.62806e-06
-0.688981,-0.472426,-0.484018,0.016,3.62806e-06
-0.676734,-0.470502,-0.48375,0.016,3.62806e-06
-0.628748,-0.483994,-0.483869,0.016,4.24299e-06
-0.636685,-0.472835,-0.484024,0.016,4.24299e-06
-0.624372,-0.471406,-0.483706,0.016,4.24299e-06
-0.573137,-0.48394,-0.483999,0.016,5.11309e-06
-0.582294,-0.473756,-0.484016,0.016,5.11309e-06
-0.570222,-0.470937,-0.483728,0.016,5.11309e-06
-0.519118,-0.483552,-0.48394,0.016,4.01187e-06
-0.527144,-0.472455,-0.484022,0.016,4.01187e-06
-0.514838,-0.47093,-0.484021,0.016,4.01187e-06
-0.466011,-0.484005,-0.483689,0.016,5.87642e-06
-0.473095,-0.472289,-0.484011,0.016,5.87642e-06
-0.460706,-0.471783,-0.484003,0.016,5.87642e-06
-0.411255,-0.483923,-0.484002,0.016,6.97325e-07
-0.418769,-0.472473,-0.484002,0.016,6.97325e-07
-0.406407,-0.471507,-0.484002,0.016,6.97325e-07
-0.356387,-0.483801,-0.484003,0.016,4.44788e-06
-0.364057,-0.472455,-0.484004,0.016,4.44788e-06
-0.351709,-0.47132,-0.484004,0.016,4.44788e-06
-0.302565,-0.483987,-0.483992,0.016,1.33967e-05
-0.31088,-0.473104,-0.483966,0.016,1.33967e-05
-0.298618,-0.471256,-0.484015,0.016,1.33967e-05
-0.24935,-0.483994,-0.483748,0.016,1.35567e-05
-0.256065,-0.472061,-0.484015,0.016,1.35567e-05
-0.243666,-0.471941,-0.484007,0.016,1.35567e-05
-0.196132,-0.48396,-0.484002,0.016,6.84153e-07
-0.203747,-0.472576,-0.484002,0.016,6.84153e-07
-0.191393,-0.471502,-0.484002,0.016,6.84153e-07
-0.140784,-0.483984,-0.484011,0.016,1.08424e-05
-0.148953,-0.472991,-0.484019,0.016,1.08424e-05
-0.136669,-0.471308,-0.483855,0.016,1.08424e-05
-0.0868941,-0.48398,-0.483999,0.016,7.28772e-06
-0.0953047,-0.473171,-0.484014,0.016,7.28772e-06
-0.0830635,-0.471217,-0.483706,0.016,7.28772e-06
-0.0347658,-0.483704,-0.483947,0.016,5.25719e-06
-0.0424239,-0.47235,-0.484008,0.016,5.25719e-06
-0.0300747,-0.471229,-0.484019,0.016,5.25719e-06
0.0212063,-0.483584,-0.483976,0.016,3.68264e-06
0.0129306,-0.472672,-0.483975,0.016,3.68264e-06
0.0251986,-0.470868,-0.48402,0.016,3.68264e-06
0.0740954,-0.483912,-0.484004,0.016,4.41275e-06
0.066383,-0.472595,-0.484003,0.016,4.41275e-06
0.0787186,-0.47142,-0.483542,0.016,4.41275e-06
0.127754,-0.483983,-0.484,0.016,7.99858e-06
